#separator:;
#html:true
#columns:German;English;Ukrainian;Example
etw./jdn. absichern;to secure, to insure;забезпечувати, страхувати;Als IT-Freelancer muss man sich selbst finanziell für das Alter absichern.
die Absicherung, -en;security, safeguard, insurance;забезпечення, гарантія;Eine gute IT-Infrastruktur braucht eine starke Absicherung gegen Hacker.
angewiesen auf (+ Akk.);dependent on;залежний від;Unser System ist auf eine stabile und schnelle Datenbank-Verbindung angewiesen.
der Anspruch, "-e;claim, right;претензія, право;Jeder Entwickler hat rechtlichen Anspruch auf mindestens 20 Tage Urlaub im Jahr.
das Arbeitslosengeld (Sg.);unemployment benefit;допомога по безробіттю;Nach der Startup-Pleite musste ich vorübergehend Arbeitslosengeld (ALG I) beantragen.
die Arbeitslosenversicherung, -en;unemployment insurance;страхування на випадок безробіття;Die Arbeitslosenversicherung wird automatisch von deinem Bruttogehalt abgezogen.
der Ausgleich (Sg.);balance, compensation;баланс, компенсація;Sport ist ein extrem wichtiger Ausgleich zum ständigen Sitzen am PC.
der Beamte, -n / die Beamtin, -nen;civil servant;державний службовець;Viele IT-Experten im Ministerium arbeiten sicher als Beamte.
etw. beantragen;to apply for;подавати заяву на;Ich möchte nächste Woche Urlaub für die Tech-Konferenz beantragen.
sich begeben (begibt sich, begab sich, hat sich begeben);to go, to proceed;відправлятися, йти;Der Techniker muss sich in den Serverraum begeben, um das Kabel zu tauschen.
die Beihilfe, -n;aid, subsidy;допомога, субсидія;Das Tech-Startup erhält eine staatliche Beihilfe für Forschung an KI.
die Betriebsrente, -n;company pension;корпоративна пенсія;Zusätzlich zum Gehalt zahlt die Firma jeden Monat in meine Betriebsrente ein.
etw. bewilligen;to approve, to grant;затверджувати, давати дозвіл;Der Chef hat mein Budget für die AWS-Serverzertifizierung bewilligt.
der Bürger, - / die Bürgerin, -nen;citizen;громадянин;Wir entwickeln eine digitale Service-App für alle Bürger der Stadt.
das Elterngeld (Sg.);parental allowance;допомога на дитину (для батьків у декреті);Während meiner Elternzeit erhalte ich staatliches Elterngeld.
das Existenzminimum (Sg.);subsistence level;прожитковий мінімум;Ein Junior-Gehalt in der IT liegt zum Glück weit über dem Existenzminimum.
die Grundsicherung (Sg.);basic social security;базове соціальне забезпечення;Die Software der Arbeitsagentur berechnet automatisch die Grundsicherung.
der Jahresverdienst, -e;annual earnings;річний дохід;Mein Jahresverdienst als Senior Developer ist im Arbeitsvertrag klar geregelt.
das Kindergeld (Sg.);child benefit;допомога на дитину;Die HR-Abteilung hilft mir bei den Formularen für das Kindergeld.
das Krankengeld (Sg.);sick pay;допомога по хворобі;Nach sechs Wochen schwerer Krankheit zahlt die Krankenkasse das Krankengeld.
die Krankenversicherung, -en;health insurance;медичне страхування;In Deutschland ist eine Krankenversicherung für jeden Entwickler absolute Pflicht.
die Leistung, -en;performance, benefit;продуктивність, виплата;Die Rechenleistung des neuen M3-Prozessors ist beeindruckend.
das Nettoeinkommen, -;net income;чистий дохід (нетто);Nach Abzug aller Steuern bleibt dir dein monatliches Nettoeinkommen.
oberhalb (+ Gen.);above;вище, над;Dein Gehaltswunsch liegt leider etwas oberhalb unseres Budgets.
die Pension, -en;pension (for civil servants);пенсія (для держслужбовців);Beamte in der staatlichen IT erhalten im Alter eine sehr gute Pension.
das Pflegegeld (Sg.);long-term care allowance;допомога по догляду;Die Health-Software berechnet automatisch das Pflegegeld für die Patienten.
