#separator:;
#html:true
#columns:German;English;Ukrainian;Example
angemessen;appropriate, reasonable;відповідний, доречний, належний;Ein angemessenes Gehalt ist für Senior Developer sehr wichtig.
der Arbeitgeberverband, "-e;employers' association;спілка роботодавців;Der Arbeitgeberverband verhandelt auch über IT-Tarifverträge.
etw. aushandeln;to negotiate;домовлятися, вести переговори;Ich konnte im Interview mehr Urlaubstage aushandeln.
der Bescheid, -e;decision, notification;відповідь, рішення, повідомлення;Ich warte noch auf den Bescheid nach dem technischen Interview.
Bescheid bekommen (bekommt, bekam, hat bekommen);to be informed, to receive notice;отримати повідомлення / відповідь;Sie werden nächste Woche Bescheid bekommen, ob wir Sie einstellen.
die Bezahlung, -en;payment, pay;оплата;Die Bezahlung in diesem Tech-Startup ist überdurchschnittlich gut.
die Eigenverantwortung (Sg.);personal responsibility;особиста відповідальність;Agile Teams arbeiten mit sehr viel Eigenverantwortung.
das Einstiegsgehalt, "-er;starting salary;початкова зарплата;Das Einstiegsgehalt für Junior Frontend Developer ist gestiegen.
die Firmenzentrale, -n;headquarters;головний офіс, штаб-квартира;Die Firmenzentrale unseres Software-Unternehmens ist in München.
der Freizeitausgleich (Sg.);compensatory time off;компенсація вільного часу (відгул за перепрацювання);Für das Wochenende-Release am Server bekomme ich Freizeitausgleich.
die Gewerkschaft, -en;trade union;профспілка;Die Gewerkschaft setzt sich für bessere Arbeitsbedingungen ein.
inklusive;inclusive, including;включно, у тому числі;Das Gehalt ist inklusive eines Budgets für Weiterbildungen.
die Mess- und Analysetechnik, -en;measurement and analysis technology;вимірювальна та аналітична техніка;Wir entwickeln Software für die Mess- und Analysetechnik.
mittelständisch;medium-sized;середній (про бізнес);Ich arbeite lieber in einem mittelständischen IT-Unternehmen als im Großkonzern.
das Motiv, -e;motive, reason;мотив, причина;Was war Ihr Motiv, sich bei uns als Entwickler zu bewerben?
nach Tarif zahlen;to pay according to the collective agreement;платити за тарифною сіткою;Viele große Tech-Konzerne in Deutschland zahlen nach Tarif.
der Personalverantwortliche, -n / die Personalverantwortliche, -n;HR manager, person responsible for HR;HR-менеджер, відповідальний за персонал;Die Personalverantwortliche schickt mir den Arbeitsvertrag zu.
die Produktpalette, -n;product range;асортимент продукції;Unsere Produktpalette umfasst verschiedene Cloud- und SaaS-Lösungen.
regelmäßig;regular(ly);регулярний;Wir machen regelmäßig Code-Refactoring, um die Qualität zu halten.
der Tarif, -e;tariff, rate, collective agreement;тариф;Mein Gehalt als Sysadmin richtet sich nach dem aktuellen Tarif.
sich verhalten (verhält sich, verhielt sich, hat sich verhalten);to behave, to act;поводитися;Beim Vorstellungsgespräch sollte man sich professionell verhalten.
die Verabschiedung (Sg.);farewell, saying goodbye;прощання;Die Verabschiedung nach dem Interview war sehr freundlich.
das Vertriebsbüro, -s;sales office;офіс продажу;Wir richten ein neues Netzwerk für das Vertriebsbüro ein.
die Anwesenheit (Sg.);presence, attendance;присутність;Beim Daily Standup ist die Anwesenheit aller Entwickler Pflicht.
der Arbeitsbeginn (Sg.);start of work;початок роботи;Mein offizieller Arbeitsbeginn ist am 1. September.
der Auswahlprozess, -e;selection process;процес відбору;Der Auswahlprozess für die DevOps-Stelle hat drei Runden.
die Besetzung (einer Stelle) (Sg.);filling (of a position);заповнення (вакансії);Die Besetzung der Senior-Position hat höchste Priorität.
die Betriebsferien (Pl.);company holidays;корпоративна відпустка (закриття підприємства на свята);Während der Betriebsferien im Dezember gibt es nur einen Notfall-Support.
die Betriebskantine, -n;company canteen;їдальня на підприємстві;In der Betriebskantine gibt es auch veganes Essen für das Team.
das Bewerbungsverfahren, -;application process;процес подачі заявки / відбору;Das Bewerbungsverfahren läuft komplett digital ab.
der Büroleiter, - / die Büroleiterin, -nen;office manager;офіс-менеджер, керівник офісу;Der Büroleiter kümmert sich um die neuen Laptops für die Entwickler.
durchgehend;continuous(ly), non-stop;безперервний, цілодобовий;Unser Server-Monitoring läuft durchgehend 24/7.
die Einarbeitung (Sg.);onboarding, training period;онбординг, введення в посаду;Die Einarbeitung in die neue Codebase dauert etwa einen Monat.
der Eindruck, "-e;impression;враження;Ich habe im technischen Interview einen guten Eindruck hinterlassen.
das Einstellungsgespräch, -e;job interview;співбесіда (при прийомі на роботу);Ich lerne gerade fleißig für mein Einstellungsgespräch bei SAP.
die Einzelheit, -en;detail;деталь, подробиця;Wir müssen noch ein paar technische Einzelheiten der API klären.
sich erkundigen nach (+ Dat.);to inquire about;дізнаватися про, довідуватися;Ich möchte mich nach dem Stand meiner Bewerbung erkundigen.
der Feierabend (Sg.);end of the working day;кінець робочого дня;Nach Feierabend spiele ich oft noch Videospiele.
flexibel;flexible;гнучкий;Als Softwareentwickler habe ich sehr flexible Arbeitszeiten.
gesetzlich;legal, statutory;законний, встановлений законом;Der gesetzliche Mindesturlaub in Deutschland beträgt 20 Tage.
die Kündigungsregelung, -en;termination rule/policy;правила звільнення (розірвання договору);Die Kündigungsregelung steht im letzten Absatz des Arbeitsvertrags.
der ÖPNV (Öffentlicher Personennahverkehr) (Sg.);public transport;громадський транспорт;Das Büro hat eine sehr gute Anbindung an den ÖPNV.
der Schichtbetrieb (Sg.);shift operation, shift work;позмінна робота;Das Rechenzentrum läuft im Schichtbetrieb, um Ausfälle zu vermeiden.
die Teambesprechung, -en;team meeting;командна нарада;Wir planen den nächsten Sprint in der Teambesprechung.
der Urlaubsanspruch, "-e;leave entitlement, right to vacation;право на відпустку;Mein Urlaubsanspruch beträgt 30 Tage pro Jahr.
(gut/schlecht) verlaufen (verläuft, verlief, ist verlaufen);to go (well/badly);проходити (добре/погано);Das Code-Review ist heute sehr gut verlaufen.
sich etw. verschaffen (z. B. einen Eindruck);to obtain, to gain (e.g., an impression);здобути, отримати (напр., враження);Ich muss mir erst einen Überblick über den alten Code verschaffen.
der Zuschuss, "-e;subsidy, grant, allowance;доплата, субсидія, допомога;Die Firma zahlt einen Zuschuss für das Ticket des ÖPNV.
etw. antreten (z. B. eine Stelle) (tritt an, trat an, hat angetreten);to take up, to start (e.g., a job);починати, приступати до (роботи);Ich werde meine neue Stelle als Fullstack-Developer am Montag antreten.
etw. aushändigen;to hand over;вручати, видавати на руки;Die IT-Abteilung wird dir am ersten Tag den Laptop aushändigen.
der Betriebsrat, "-e;works council;виробнича рада (представник працівників);Der Betriebsrat hat der neuen Homeoffice-Regelung zugestimmt.
chaotisch;chaotic;хаотичний;Ohne Jira und Scrum war die Projektplanung früher sehr chaotisch.
der Dienstplan, "-e;roster, shift schedule;графік чергувань / роботи;Der Dienstplan für den IT-Support wird wöchentlich aktualisiert.
etw. einplanen;to schedule, to plan for;планувати, передбачати;Wir müssen genug Zeit für das Testing einplanen.
die Einweisung, -en;instruction, briefing;інструктаж, введення в курс справи;Am ersten Tag bekommst du eine Einweisung in unsere Server-Struktur.
sich erinnern an (+ Akk.);to remember;пам'ятати про, згадувати;Ich kann mich nicht an das Admin-Passwort erinnern.
die Hausordnung, -en;house rules;правила внутрішнього розпорядку;Laut Hausordnung darf man keine privaten USB-Sticks verwenden.
der Haustechniker, - / die Haustechnikerin, -nen;building technician, maintenance worker;технік будівлі, завгосп;Der Haustechniker repariert die Klimaanlage im Serverraum.
der Lieferant, -en / die Lieferantin, -nen;supplier;постачальник;Der Lieferant bringt morgen die neuen Monitore.
der Medikamentenschrank, "-e;medicine cabinet;аптечка (шафка для ліків);Pflaster für kleine Verletzungen findest du im Medikamentenschrank.
der Mitarbeiterausweis, -e;employee ID card;перепустка, посвідчення працівника;Du brauchst deinen Mitarbeiterausweis, um das Büro zu betreten.
die Pausenregelung, -en;break regulation;правила щодо перерв;Die Pausenregelung ist bei uns sehr flexibel.
die Personalabteilung, -en;HR department;відділ кадрів (HR);Bitte sende deine Krankmeldung an die Personalabteilung.
die Pflegedienstleitung, -en;nursing management;керівництво служби догляду;Wir programmieren ein Verwaltungstool für die Pflegedienstleitung.
der Stationsleiter, - / die Stationsleiterin, -nen;ward manager (hospital);завідувач відділення (в лікарні);Der Stationsleiter nutzt unser neues digitales Patienten-System.
das Unfallrisiko, -risiken;accident risk;ризик нещасного випадку;Lose Kabel auf dem Boden erhöhen das Unfallrisiko im Büro.
die Unterweisung, -en;instruction, training;інструктаж, навчання;Jedes Jahr gibt es eine Pflicht-Unterweisung zum Thema Datenschutz.
das Verbandmaterial, -ien;bandage material, dressings;перев'язувальний матеріал;Das Verbandmaterial liegt im Erste-Hilfe-Kasten in der Küche.
die Willkommensmappe, -n;welcome folder;вітальна папка (для нових співробітників);In der Willkommensmappe stehen alle wichtigen Infos zum Onboarding.
sich zurechtfinden (findet zurecht, fand zurecht, hat zurechtgefunden);to find one's way around, to orient oneself;орієнтуватися, розібратися;Es dauert etwas, bis man sich in der großen Codebase zurechtfindet.
die Abschiedsfeier, -n;farewell party;прощальна вечірка;Wir machen eine kleine Abschiedsfeier für den Kollegen, der die Firma verlässt.
der Alarm, -e;alarm;сигналізація, тривога;Das Monitoring-System schlägt Alarm, wenn die CPU überhitzt.
der Anlass, "-e;occasion, reason;привід, нагода;Das erfolgreiche Release ist ein guter Anlass für eine Pizza-Party.
das Antragsformular, -e;application form;бланк заяви;Du musst ein Antragsformular ausfüllen, um einen zweiten Monitor zu bekommen.
etw. aufladen (lädt auf, lud auf, hat aufgeladen);to charge, to top up;заряджати, поповнювати;Ich muss den Akku meines Firmenlaptops aufladen.
etw. aushängen (hängt aus, hing aus, hat ausgehangen);to post (a notice);вивішувати (оголошення);Der neue Dienstplan wird am schwarzen Brett aushängen.
etw. ausstellen (z. B. einen Parkausweis);to issue (e.g., a parking permit);виписувати, видавати (документ);Der Empfang wird dir einen Besucherausweis ausstellen.
etw. beantragen (z. B. einen Zuschuss);to apply for, to request;подавати заяву на, запитувати;Ich möchte Homeoffice-Tage für nächste Woche beantragen.
betrieblich;operational, company-related;виробничий, службовий, корпоративний;Private Nutzung des Firmenlaptops ist aus betrieblichen Gründen verboten.
der Betriebsausflug, "-e;company outing;корпоративна поїздка / екскурсія;Nächsten Monat machen wir einen Betriebsausflug in die Berge.
die Betriebsrente, -n;company pension;корпоративна пенсія;Das IT-Unternehmen bietet als Bonus eine gute Betriebsrente an.
die Betriebsversammlung, -en;staff meeting, company assembly;загальні збори працівників;Auf der Betriebsversammlung präsentiert der CEO die neuen Ziele.
die Betriebszugehörigkeit (Sg.);length of service with a company;стаж роботи на підприємстві;Nach fünf Jahren Betriebszugehörigkeit bekommt man mehr Urlaubstage.
der Betroffene, -n / die Betroffene, -n;person affected, person concerned;зацікавлена особа, постраждалий;Bei einem Datenleck müssen alle Betroffenen sofort informiert werden.
etw. bezuschussen;to subsidize;субсидіювати, доплачувати;Die Firma wird mein Ticket für die öffentlichen Verkehrsmittel bezuschussen.
der Brandfall, "-e;in case of fire;випадок пожежі;Im Brandfall dürfen die Aufzüge nicht benutzt werden.
die Dienstreise, -n;business trip;відрядження;Ich muss nächste Woche auf Dienstreise zum Kunden nach Berlin.
eine Dienstreise antreten;to go on a business trip;відправитися у відрядження;Der Projektmanager muss eine Dienstreise in die USA antreten.
durchschnittlich;average, on average;в середньому, середньостатистичний;Ein Bugfix dauert bei uns durchschnittlich zwei Stunden.
das Firmengelände, -;company grounds, premises;територія компанії;Auf dem gesamten Firmengelände gibt es kostenloses WLAN.
der Firmenparkplatz, "-e;company car park;корпоративна парковка;Die Entwickler haben einen eigenen Firmenparkplatz.
ganztägig;all-day, full-day;на цілий день;Morgen haben wir einen ganztägigen Workshop zu Kubernetes.
die Genehmigung, -en;approval, permit;дозвіл, затвердження;Ich brauche die Genehmigung vom Chef für das Software-Upgrade.
die Ladestation, -en;charging station;зарядна станція;Es gibt eine Ladestation für Elektroautos auf dem Firmenparkplatz.
die Lautsprecheranlage, -n;public address system, PA system;система гучномовців;Eine Durchsage über die Lautsprecheranlage warnt vor dem Feueralarm.
das Nettoeinkommen, -;net income;чистий дохід (нетто);Mein Nettoeinkommen ist nach Abzug der Steuern immer noch sehr gut.
die Nutzung, -en;use, usage;використання;Die private Nutzung der Test-Server ist strengstens verboten.
der Ruhestand (Sg.);retirement;вихід на пенсію;Unser Senior-Architekt geht nächstes Jahr in den Ruhestand.
die Sozialleistung, -en;social benefit;соціальна пільга / виплата;Kostenlose Fitnessstudio-Mitgliedschaft ist eine tolle Sozialleistung.
die Telefonbenutzung (Sg.);telephone usage;користування телефоном;Die private Telefonbenutzung ist im Großraumbüro nicht erwünscht.
üblich;usual, common;звичайний, прийнятий;In agilen Teams ist das Duzen der Kollegen üblich.
etw. untersagen;to prohibit, to forbid;забороняти;Der IT-Sicherheit ist es untersagt, Passwörter im Klartext zu speichern.
