#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Abteilung, -en;department;відділ;Unsere Abteilung **ist für die Einhaltung der neuen Sicherheitsrichtlinien zuständig**.
der Arbeitgeber, - / die Arbeitgeberin, -nen;employer;роботодавець/-иця;Der Arbeitgeber **ist verpflichtet, die Kosten für den Gehörschutz der Belegschaft zu übernehmen**.
das Asylverfahren, -;asylum procedure;процедура надання притулку;Während des Asylverfahrens **ist die Aufnahme einer Erwerbstätigkeit nur im Ausnahmefall gestattet**.
die Ausbildung, -en;apprenticeship, vocational training;професійне навчання;Die ordnungsgemäße Durchführung der Ausbildung **wird von der zuständigen IHK überwacht**.
auf|fallen (fällt auf, fiel auf, ist aufgefallen);to stand out, to be noticeable;впадати в око;Im Rahmen der Revision **ist sofort aufgefallen, dass Buchungsbelege im Jahresabschluss fehlen**.
(eine Prüfung) bestehen (besteht, bestand, hat bestanden);to pass (an exam);скласти (іспит);Nach intensiver Prüfungsvorbereitung **hat der Auszubildende den Erstversuch mit Erfolg bestanden**.
das Berufsinformationszentrum (BIZ);career information center;центр профорієнтації;Im BIZ **erhalten Berufseinsteiger nützliche Auskünfte über Umschulungsmaßnahmen**.
die Betrieb, -e;company, business;підприємство;Unser Betrieb **muss sich streng an die gesetzlichen Richtlinien des Arbeitsschutzes orientieren**.
sich bewerben (bewirbt sich, bewarb sich, hat sich beworben);to apply;подавати заявку (на роботу);Ich möchte mich **um die ausgeschriebene Stelle in Ihrer IT-Abteilung bewerben**.
jdn. ein|stellen (stellt ein, stellte ein, hat eingestellt);to hire someone;наймати когось;Die Geschäftsführung **beschließt, im nächsten Quartal drei neue Fachkräfte einzustellen**.
das E-Learning (Sg.);e-learning;електронне навчання;<b>Ich bin der Meinung, dass</b> E-Learning eine hervorragende Alternative zum Präsenzunterricht darstellt.
der E-Learning-Kurs, -e;e-learning course;курс дистанційного навчання;Der E-Learning-Kurs **beinhaltet interaktive Module zur Arbeitssicherheit im Betrieb**.
der Facharbeiter, - / die Facharbeiterin, -nen;skilled worker;кваліфікований робітник/-ця;Die Werkhalle **beschäftigt ausschließlich hochqualifizierte Facharbeiter**.
der Gabelstapler, -;forklift;навантажувач;Für das Fahren des Gabelstaplers **ist der Nachweis einer entsprechenden Zulassung erforderlich**.
die Geschäftsführung, -en;management;керівництво;Die Geschäftsführung **trägt die Verantwortung für das positive Betriebsergebnis**.
sich informieren über (+ Akk.) (informiert sich, informierte sich, hat sich informiert);to inform oneself;інформуватися;Vor Vertragsabschluss **sollte man sich genau über die Kündigungsfristen informieren**.
das Lager, -;warehouse, storage;склад;Der Transportschaden **wurde unmittelbar nach dem Eintreffen der Ware im Lager dokumentiert**.
die Lagerlogistik (Sg.);warehouse logistics;складська логістика;Die Optimierung der Lagerlogistik **leistet einen wichtigen Beitrag zur Kostenersparnis**.
der Mitarbeiter, - / die Mitarbeiterin, -nen;employee;співробітник/-ця;Jeder Mitarbeiter **ist zur Einhaltung der Brandschutzordnung auf dem Betriebsgelände verpflichtet**.
jdm. etw. raten (rät, riet, hat geraten);to advise someone;радити комусь щось;Der Sicherheitsbeauftragte **hat mir geraten, die Evakuierungsübung ernst zu nehmen**.
der Schulabschluss, "-e;school-leaving certificate;шкільний атестат;Nach dem Schulabschluss **kann man eine Berufsausbildung im Handwerksbereich beginnen**.
steigen (stieg, ist gestiegen);to rise, to climb;підніматися, зростати;<b>Aus der Grafik geht hervor, dass</b> die Zahl der Arbeitsunfälle stetig gestiegen ist.
teil|nehmen an (+ Dat.) (nimmt teil, nahm teil, hat teilgenommen);to participate in;брати участь;Die Belegschaft **wird geschlossen an der kommenden Betriebsversammlung teilnehmen**.
der Umsatz, "-e;revenue, turnover;оборот, виручка;Der Umsatz des Unternehmens **ist infolge der erfolgreichen Messeteilnahme gestiegen**.
die Umschulung, -en;retraining;перекваліфікація;Das Jobcenter **hat der Umschulung zum Kältetechniker endlich zugestimmt**.
wahrscheinlich;probably;вірогідно, ймовірно;Die Tarifverhandlungen **werden wahrscheinlich zu einer einvernehmlichen Lösung führen**.
die Weiterbildung, -en;further education;підвищення кваліфікації;Der Arbeitgeber **unterstützt die Teilnahme an dieser Weiterbildungsmaßnahme finanziell**.
der Antrag, "-e;application, request;заява;Der Kindergeldantrag **muss schriftlich bei der zuständigen Familienkasse eingereicht werden**.
einen Antrag stellen (stellt, stellte, hat gestellt);to submit an application;падавати заяву;Der Schuldner **hat einen Antrag auf Stundung der Steuerschuld gestellt**.
die Aufenthaltsgenehmigung, -en;residence permit;посвідка на проживання;Für die Erteilung der Arbeitserlaubnis **ist eine gültige Aufenthaltsgenehmigung erforderlich**.
auf|wachsen (wächst auf, wuchs auf, ist aufgewachsen);to grow up;виростати;Er ist zweisprachig aufgewachsen, **was für die internationale Kundenpflege sehr vorteilhaft ist**.
der Berater, - / die Beraterin, -nen;advisor, counselor;консультант/-ка;Der Rentenberater **erteilt den Versicherten detaillierte Auskünfte über ihre Rentenanwartschaften**.
jdn. beschäftigen (beschäftigt, beschäftigt, hat beschäftigt);to employ someone;мати у штаті, займати когось;Unser Handwerksbetrieb **beschäftigt derzeit zehn Auszubildende**.
der Businessplan, "-e;business plan;бізнес-план;Für die Bewilligung des Kredits **müssen wir den Businessplan der Bank vorlegen**.
das Einkommen, -;income;дохід;Das Nettoeinkommen **ist nach dem Abzug aller Abgaben und Steuern maßgeblich**.
die Entscheidung, -en;decision;рішення;Die Entscheidung der Schlichtungsstelle **ist für beide Tarifpartner bindend**.
eine Entscheidung treffen (trifft, traf, hat getroffen);to make a decision;прийти до рішення;Der Vorstand **muss eine Entscheidung bezüglich der Betriebsverlegung treffen**.
die Existenzgründung, -en;founding of a business;заснування власної справи;Bei der Existenzgründung **sollte man sich an den gesetzlichen Vorschriften orientieren**.
die Fortbildung, -en;advanced training;підвищення кваліфікації;Die Teilnahme an der Fortbildung **wird durch ein anerkanntes Zertifikat nachgewiesen**.
eine Fortbildung machen (macht, machte, hat gemacht);to do a training;проходити курс підвищення кваліфікації;Ich möchte eine Fortbildung machen, **um meine Chancen auf dem Arbeitsmarkt zu verbessern**.
(ein Unternehmen) gründen (gründet, gründete, hat gegründet);to found (a company);засновувати (компанію);Sie planen, **ein mittelständisches Logistikunternehmen in der Rechtsform einer GmbH zu gründen**.
