#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Bedienbarkeit (Sg.);usability, operability;зручність використання, юзабіліті;Eine einfache Bedienbarkeit **ist ein wesentliches Qualitätsmerkmal für Softwareprodukte**.
etw./jdn. bedienen (bedient, bediente, hat bedient);to operate, to serve;обслуговувати, керувати;Die neue Generation der Baugruppe lässt sich **sicher und fehlerfrei bedienen**.
benutzerfreundlich;user-friendly;зручний для користувача;<b>Ich bin der Meinung, dass</b> benutzerfreundliche Systeme die Produktivität im Büro deutlich steigern.
die Beseitigung (Sg.);removal, elimination;усунення, ліквідація;Die Beseitigung aller Gefahrenquellen **ist die oberste Pflicht des Sicherheitsbeauftragten**.
etw. betreiben (betreibt, betrieb, hat betrieben);to operate, to run;експлуатувати, керувати;Um das Rechenzentrum **zu betreiben, müssen wir streng die Umweltrichtlinien beachten**.
die Checkliste, -n;checklist;чек-лист, контрольний список;Wir haben eine Checkliste erstellt, um **die pünktliche Flugzeugabfertigung abzusichern**.
das Design, -s;design;дизайн;Das innovative Design der Benutzeroberfläche **ist auf großes Kundeninteresse gestoßen**.
effizient;efficient;ефективний;Durch effiziente Prozesse konnten wir **die Ausfallzeiten der Maschinen stark verkürzen**.
etw. einstellen (stellt ein, stellte ein, hat eingestellt);to set, to adjust, to stop;налаштовувати, припиняти;Wir mussten die Produktion der alten Baureihe **aus Qualitätsgründen einstellen**.
haltbar;durable, stable;міцний, довговічний;Die Gehäuse der Sensoren müssen extrem haltbar sein, **um den Belastungen standzuhalten**.
die Haltbarkeit (Sg.);durability, shelf life;довговічність, термін придатності;Die Haltbarkeit der Bauteile **wird im Labor der Qualitätskontrolle genau getestet**.
das Image (Sg.);image, reputation;імідж, репутація;Mangelhafte Produkte **können das Image der gesamten Wirtschaftsbranche gefährden**.
die Kundenbewertung, -en;customer review;відгук клієнта;Positive Kundenbewertungen **leisten einen wichtigen Beitrag zur Neukundengewinnung**.
langlebig;long-lasting, durable;довговічний;Langlebige Produkte **stehen im Einklang mit unserem Leitbild der Nachhaltigkeit**.
