#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Absolvent, -en / die Absolventin, -nen;graduate;випускник;<b>Aus der Grafik geht hervor, dass</b> viele Absolventen gute Chancen auf dem Arbeitsmarkt haben.
sich anpassen an (+ Akk.) (passt sich an, passte sich an, hat sich angepasst);to adapt to;пристосовуватися до, адаптуватися до;Mitarbeiter müssen sich schnell <b>an die Anforderungen der digitalen Arbeitswelt anpassen</b>.
der Arbeitsberater, - / die Arbeitsberaterin, -nen;employment counselor;консультант з працевлаштування;Der Arbeitsberater <b>hat mir den Rat gegeben</b>, eine Weiterbildung im IT-Bereich <b>in Betracht zu ziehen</b>.
die Arbeitsteilung (Sg.);division of labor;розподіл праці;Eine effiziente Arbeitsteilung <b>trägt dazu bei</b>, dass wir die Projektziele rechtzeitig erreichen.
die Arbeitswelt (Sg.);working world;світ праці, робоче середовище;Die Digitalisierung verändere die Arbeitswelt, weshalb wir <b>uns auf neue Bedingungen einstellen</b> müssen.
aufgrund von (+ Dat.);due to, based on;на підставі, через;<b>Aufgrund von</b> Umstrukturierungen im Unternehmen mussten wir einige Prozesse neu organisieren.
die Bedeutung, -en;meaning, significance;значення, важливість;Die kontinuierliche Weiterbildung <b>hat für die berufliche Entwicklung eine große Bedeutung</b>.
sich behaupten (behauptet sich, behauptete sich, hat sich behauptet);to assert oneself, to hold one's own;зарекомендувати себе, відстоювати свої позиції;Um sich im globalen Wettbewerb zu behaupten, müssen Firmen <b>Wert auf Qualität legen</b>.
der Berufsweg, -e;career path;кар'єрний шлях;<b>Ich bin der Meinung, dass</b> ein flexibler Berufsweg heutzutage absolut üblich und normal ist.
die Digitalisierung (Sg.);digitalization;цифровізація;Die Digitalisierung <b>stellt viele traditionelle Betriebe vor eine große Herausforderung</b>.
sich einstellen auf (+ Akk.) (stellt sich ein, stellte sich ein, hat sich eingestellt);to prepare for, to adjust to;налаштовуватися на, готуватися до;Arbeitnehmer müssen sich heutzutage <b>auf ständige Veränderungen im Berufsleben einstellen</b>.
erforderlich;required, necessary;необхідний;Für die Übernahme dieser verantwortungsvollen Position sind tiefe Sachkenntnisse <b>erforderlich</b>.
etw. erwerben (erwirbt, erwarb, hat erworben);to acquire;здобувати (напр. знання, навички);In der Ausbildung konnte ich wertvolle Kenntnisse im Bereich des Beschwerdemanagements <b>erwerben</b>.
der Erwerbstätige, -n / die Erwerbstätige, -n;employed person;працюючий, людина, що має оплачувану роботу;<b>Aus den Daten geht hervor, dass</b> die Zahl der Erwerbstätigen im Dienstleistungssektor steigt.
der Freiberufler, - / die Freiberuflerin, -nen;freelancer;фрилансер;Als Freiberufler ist man oft <b>auf eine stabile Auftragslage angewiesen</b>.
die Globalisierung (Sg.);globalization;глобалізація;Die Globalisierung <b>hat zur Folge, dass</b> Unternehmen international im Wettbewerb stehen.
die Herausforderung, -en;challenge;виклик, складна задача;Die Integration neuer Teammitglieder <b>stellt uns vor eine interkulturelle Herausforderung</b>.
interkulturelle Kompetenz;intercultural competence;міжкультурна компетенція;Im internationalen Handel <b>legen Arbeitgeber großen Wert auf</b> interkulturelle Kompetenz.
der Klimawandel (Sg.);climate change;зміна клімату;Unternehmen müssen Maßnahmen ergreifen, um die Produktion an den Klimawandel <b>anzupassen</b>.
die Kompetenz, -en;competence, skill;компетенція, навичка;Durch die Fortbildung konnte er seine fachlichen Kompetenzen deutlich <b>erweitern</b>.
modernisieren (modernisiert, modernisierte, hat modernisiert);to modernize;модернізувати, оновлювати;Wir müssen den Betrieb modernisieren, um <b>die Effizienz unserer Prozesse zu steigern</b>.
die Neuorientierung, -en;reorientation;переорієнтація;Eine berufliche Neuorientierung kann <b>neue Perspektiven für den weiteren Berufsweg eröffnen</b>.
