#separator:;
#html:true
#columns:German;English;Ukrainian;Example
das Anliegen, -;request, concern, matter;прохання, справа, питання;Wir müssen uns um das Anliegen des Betriebsrats **bezüglich der Arbeitsbedingungen kümmern**.
der Arbeitsspeicher, -;RAM, main memory;оперативна пам'ять (RAM);Der Techniker **war mit der Erweiterung des Arbeitsspeichers der Server beschäftigt**.
etw. ausstatten (stattet aus, stattete aus, hat ausgestattet);to equip, to furnish;обладнувати, оснащувати;Wir müssen alle Arbeitsplätze **mit einer ergonomischen Ausstattung ausstatten**.
etw. ausstellen (stellt aus, stellte aus, hat ausgestellt);to exhibit, to display;виставляти (на виставці);Unser Unternehmen wird auf der Messe **neue umweltfreundliche Exponate ausstellen**.
die Automobilausstellung, -en;motor show, car exhibition;автомобільна виставка;Auf der Automobilausstellung **standen innovative Fahrzeugmodelle im Vordergrund**.
die Bildungsmesse, -n;education fair;освітня виставка;Die Bildungsmesse **bietet Berufseinsteigern eine hervorragende Orientierung auf dem Markt**.
die Buchmesse, -n;book fair;книжковий ярмарок;Der Verlag **präsentiert seine neuesten Neuerscheinungen auf der Buchmesse**.
die Einrichtungsmesse, -n;interior design fair, furniture fair;виставка інтер'єру / меблів;Die Einrichtungsmesse **verzeichnete in diesem Jahr eine sehr hohe Beteiligung**.
die Fachmesse, -n;trade fair, specialized exhibition;спеціалізована виставка;Die Fachmesse **bietet gute Chancen für Neukundengewinnung und Netzwerkpflege**.
die Fachveranstaltung, -en;professional event, symposium;фаховий захід;Ich freue mich auf die Teilnahme an der **Fachveranstaltung zum Thema Gewässerschutz**.
die Festplattengröße, -n;hard drive size/capacity;об'єм жорсткого диска;<b>Ich bitte Sie, uns die technischen Daten bezüglich</b> der Festplattengröße **zuzuschicken**.
der Gesprächsinhalt, -e;content of conversation;зміст розмови;Wir müssen den Gesprächsinhalt des Vorstellungsgesprächs **im Protokoll festhalten**.
informativ;informative;інформативний;Die Infoveranstaltung über die Umschulungsmaßnahmen **war äußerst informativ**.
die Innovation, -en;innovation;інновація;Innovative Technologien **leisten einen wichtigen Beitrag zur Energieeinsparung**.
etw. konfigurieren (konfiguriert, konfigurierte, hat konfiguriert);to configure, to set up;налаштовувати, конфігурувати;Der IT-Spezialist muss den neuen Cloud-Server **sorgfältig konfigurieren**.
leistungsfähig;powerful, efficient;потужний, продуктивний;Eine leistungsfähige Energieversorgung **ist Voraussetzung für den reibungslosen Betrieb**.
leistungsstark;high-performance, powerful;високопродуктивний;Wir haben uns für die Anschaffung **eines leistungsstarken Notstromaggregats entschieden**.
die Messegesprächsnotiz, -en;trade fair discussion note;нотатка про розмову на виставці;Bitte tragen Sie die Kundenwünsche **sorgfältig in die Messegesprächsnotiz ein**.
die Messeteilnahme (Sg.);participation in a trade fair;участь у виставці;Unsere Messeteilnahme **hat das Image des Unternehmens in der Öffentlichkeit verbessert**.
mittelständisch;medium-sized;середній (про бізнес);Mittelständische Betriebe **leiden oft stark unter hohen bürokratischen Hürden**.
die Publikumsmesse, -n;public fair, consumer exhibition;виставка для широкої публіки;Die Publikumsmesse **bietet dem Handwerksunternehmen einen direkten Kundenkontakt**.
die Tourismusbörse, -n;tourism exchange/fair;туристична біржа/виставка;Die Tourismusbörse **dient als wichtige Plattform zur Markterschließung**.
der Umsatz, "-e;revenue, sales, turnover;оборот, виручка, обсяг продажів;<b>Aus der Grafik geht hervor, dass sich der Umsatz verdoppelt hat</b>.
variabel;variable, adjustable;змінний, варіативний;Die Arbeitszeiten in unserem Betrieb **sind sehr variabel gestaltet**.
etw. abrufen (ruft ab, rief ab, hat abgerufen);to fetch, to retrieve, to call up;робити запит, викликати, отримувати (дані);Die Mitarbeiter können ihre Gehaltsabrechnungen **direkt im Portal abrufen**.
abwechlungsreich;varied, diverse;різноманітний;Die Ausbildung zum Kältetechniker **gestaltet sich äußerst abwechslungsreich**.
angeblich;allegedly, supposedly;нібито, ймовірно;Die Mängel wurden angeblich behoben, **dennoch fordern wir eine Nachbesserung**.
