#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Arbeitsvertrag, "-e;employment contract;трудовий договір;Bevor wir den Arbeitsvertrag unterschreiben, müssen wir <b>alle Arbeitsbedingungen genau absprechen</b>.
der Aushang, "-e;notice, poster;оголошення, афіша;Am Aushang der Handwerkskammer **stehen Informationen über freie Lehrstellen zur Verfügung**.
aussagekräftig;meaningful, expressive;змістовний, переконливий;Für eine erfolgreiche Bewerbung ist ein aussagekräftiges Anschreiben <b>erforderlich</b>.
etw. beinhalten (beinhaltet, beinhaltete, hat beinhaltet);to contain, to include;містити в собі, охоплювати;Der Arbeitsvertrag <b>beinhaltet klare Vereinbarungen bezüglich der Überstundenregelung</b>.
das BIZ (Berufsinformationszentrum) (Sg.);career information center;центр профорієнтації;Der Arbeitsberater im BIZ **gibt den Jugendlichen Auskunft über** verschiedene Berufswege.
die Chancengleichheit, -en;equal opportunity;рівні можливості;In unserem Betrieb **steht das Ziel der Chancengleichheit für alle Mitarbeiter im Vordergrund**.
etw. entwickeln (entwickelt, entwickelte, hat entwickelt);to develop;розробляти;Die Abteilung hat die Aufgabe, neue Konzepte für die Personalsuche <b>zu entwickeln</b>.
der (medizinische) Fortschritt (Sg.);(medical) progress;(медичний) прогрес;<b>Aus den Berichten geht hervor, dass</b> der medizinische Fortschritt viele neue Heilungsmethoden ermöglicht.
ein inklusiver Arbeitsplatz;inclusive workplace;інклюзивне робоче місце;Die Geschäftsführung **legt großen Wert auf einen inklusiven Arbeitsplatz** für Menschen mit Behinderungen.
innovativ;innovative;інноваційний;Unser Unternehmen **beteiligt sich an innovativen Projekten im Bereich** der Energieeinsparung.
die Jobmesse, -n;job fair;ярмарок вакансій;Auf der Jobmesse konnte ich **erste Kontakte zu potenziellen Arbeitgebern knüpfen**.
der Labormitarbeiter, - / die Labormitarbeiterin, -nen;laboratory worker;співробітник лабораторії;Der Labormitarbeiter ist **mit der Durchführung der chemischen Messungen beschäftigt**.
die Messmethode, -n;measurement method;метод вимірювання;<b>Aus den Daten geht hervor, dass</b> die neue Messmethode viel präzisere Werte liefert.
das Netzwerk, -e;network;мережа;Ein stabiles berufliches Netzwerk **kann den weiteren Berufsweg positiv beeinflussen**.
