#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Alltag (Sg.);everyday life;будні, повсякденне життя;Der Berufsalltag **erfordert ein hohes Maß an zeitlicher Flexibilität**.
der Anschluss, "-e;connection;підключення;Die Elektrofirma **ist für den Anschluss der neuen Klimaanlage zuständig**.
die Anwendungsmöglichkeit, -en;application possibility;можливість застосування;Die neuen Kältemaschinen **bieten vielfältige Anwendungsmöglichkeiten im industriellen Betrieb**.
das Display, -s;display, screen;дисплей, екран;Das beschädigte Display **wurde vom Servicetechniker innerhalb kurzer Zeit ausgetauscht**.
einsatzbereit;ready for use;готовий до роботи;Das Notstromaggregat **ist im Falle eines Stromausfalls sofort einsatzbereit**.
das Festnetz (Sg.);landline;стаціонарна мережа;Im Büro **sind alle Abteilungen direkt über das Festnetz erreichbar**.
das Gerät, -e;device;пристрій;Das defekte Gerät **wurde umgehend zur Reparatur an den Hersteller geschickt**.
herunter|laden (lädt herunter, lud herunter, hat heruntergeladen);to download;завантажувати;Bitte **laden Sie die erforderlichen Bewerbungsunterlagen im PDF-Format herunter**.
etw. installieren (installiert, installierte, hat installiert);to install;інсталювати;Wir haben den Auftrag erhalten, **neue Lärmschutzvorrichtungen im Werk zu installieren**.
das Kommunikationsmittel, -;means of communication;засіб зв'язку;Ein digitales Zeiterfassungssystem **dient als wichtiges Kommunikationsmittel im Betrieb**.
leistungsfähig;powerful, efficient;потужний, продуктивний;Eine leistungsfähige Spedition **garantiert eine fehlerfreie Zustellung unserer Waren**.
der Mobilfunk (Sg.);mobile communications;мобільний зв'язок;Die Netzabdeckung **für den Mobilfunk wurde auf dem gesamten Betriebsgelände verbessert**.
multifunktional;multifunctional;багатофункціональний;Die neue Produktionsanlage **ist multifunktional und flexibel einsetzbar**.
das Navi, -s;sat nav, navigation system;навігатор;Der Lkw-Fahrer **nutzt das Navi zur Optimierung seiner Fahrtstrecke**.
das Navigationsgerät, -e;navigation device;навігатор;Das Navigationsgerät **erleichtert den Fahrern der Spedition die Routenplanung**.
problemlos;problem-free;без проблеми;Die Zusammenarbeit **mit dem neuen Lieferanten verlief von Anfang an problemlos**.
das Risiko, Risiken;risk;ризик;Der Schritt in die Selbstständigkeit **birgt immer ein gewisses finanzielles Risiko**.
sinken (sinkt, sank, ist gesunken);to sink, to decrease;падати, знижуватися;<b>Aus der Grafik geht hervor, dass</b> der Absatz der Produkte gesunken ist.
die Tastatur, -en;keyboard;клавіатура;Die Reinigung der Tastatur **gehört zur Pflege der Arbeitsplatzausstattung im Büro**.
verfügbar;available;доступний;Das neue Antragsformular **ist ab sofort auf unserer Online-Plattform verfügbar**.
etw. weiterentwickeln (entwickelt weiter, entwickelte weiter, hat weiterentwickelt);to develop further;розвивати далі;Wir müssen unsere Logistikkonzepte **ständig weiterentwickeln, um konkurrenzfähig zu bleiben**.
die Zukunft (Sg.);future;майбутнє;Eine fundierte Berufsausbildung **bietet beste Perspektiven für die berufliche Zukunft**.
in Zukunft;in the future;у майбутньому;In Zukunft **wird der Arbeitgeber die Kosten für die Weiterbildung übernehmen**.
die Arbeit erleichtern (erleichtert, erleichterte, hat erleichtert);to make work easier;полегшувати роботу;Das neue EDV-System **soll den Beschäftigten die tägliche Arbeit erleichtern**.
die Daten (Pl.);data;дані;Wir müssen alle Daten **bezüglich des Arbeitsschutzes sorgfältig dokumentieren**.
Daten missbrauchen (missbraucht, missbrauchte, hat missbraucht);to misuse data;зловживати даними;Es ist gesetzlich verboten, **personenbezogene Daten der Mitarbeiter zu missbrauchen**.
nachteilig;disadvantageous;невигідний;Die neuen Arbeitszeitregelungen **wirken sich nachteilig auf das Wohlbefinden aus**.
papierlos;paperless;безпеперовий;Die Personalabteilung **strebt eine komplett papierlose Verwaltung der Personalakten an**.
die sozialen Netzwerke;social networks;соціальні мережі;Die Werbekampagne **sollte auch über die sozialen Netzwerke verbreitet werden**.
speichern (speichert, speicherte, hat gespeichert);to save;зберігати;Bitte **speichern Sie das Ergebnisprotokoll im gemeinsamen Ordner ab**.
verzichten auf (+ Akk.) (verzichtet, verzichtete, hat verzichtet);to do without;відмовлятися від;Wir können bei der Arbeit **auf keinen Fall auf das Tragen von Gehörschutz verzichten**.
die Anforderung, -en;requirement, demand;вимога;Die neue Fachkraft **erfüllt alle fachlichen Anforderungen der Stellenausschreibung**.
der Ausbildungsberuf, -e;recognized vocational profession;професія, що потребує спеціальної освіти;Fachinformatiker **ist ein beliebter Ausbildungsberuf in der IT-Branche**.
beeinflussen (beeinflusst, beeinflusste, hat beeinflusst);to influence;впливати;Das Betriebsklima **kann die Leistungsbereitschaft der Mitarbeiter stark beeinflussen**.
die Berufsaussicht, -en;career prospect;перспектива працевлаштування;Die Berufsaussichten **für Absolventen dieses Ausbildungsberufs sind hervorragend**.
die Digitalisierung (Sg.);digitization;цифровізація;Die Digitalisierung **leistet einen wichtigen Beitrag zur Beschleunigung der Prozesse**.
die Eigenschaft, -en;property, characteristic;властивість, якість;Zuverlässigkeit **ist eine unverzichtbare Eigenschaft im Berufsalltag**.
der Erfolg, -e;success;успіх;Der Erfolg der Existenzgründung **hängt stark vom vorab erstellten Businessplan ab**.
Erfolg haben;to have success;мати успіх;Wer sich regelmäßig weiterbildet, **wird mit hoher Wahrscheinlichkeit Erfolg haben**.
fächerübergreifend;interdisciplinary;міждисциплінарний;Wir planen eine fächerübergreifende Weiterbildung **für das gesamte Fachpersonal**.
die Gesprächs- und Verhandlungsführung (Sg.);conversation and negotiation management;ведення переговорів;Eine gute Gesprächs- und Verhandlungsführung **ist Voraussetzung für Tarifverträge**.
interkulturell;intercultural;міжкультурний;Interkulturelle Kompetenz **ist in unserem international tätigen Betrieb erwünscht**.
der IT-Systemkaufmann, -leute / die IT-Systemkauffrau, -en;IT systems management assistant;фахівець/-чиня з продажів ІТ-систем;Als IT-Systemkaufmann **ist man für die Beratung und Vermittlung zuständig**.
die Soft Skills (Pl.);soft skills;гнучкі навички;Bei Bewerbungen **wird neben fachlichen Qualifikationen auch auf Soft Skills geachtet**.
teamfähig;able to work in a team;здатний працювати в команді;Wir suchen eine Fachkraft, **die teamfähig und bereit zur Schichtarbeit ist**.
