#separator:;
#html:true
#columns:German;English;Ukrainian;Example
etw./jdn. absichern (sichert ab, sicherte ab, hat abgesichert);to secure, to insure;забезпечувати, страхувати;Eine betriebliche Altersvorsorge **dient dazu, die Mitarbeiter im Alter finanziell abzusichern**.
die Absicherung, -en;security, safeguard, insurance;забезпечення, гарантія;Die Absicherung des Lebensunterhalts **steht bei der Sozialhilfe im Vordergrund**.
angewiesen auf (+ Akk.);dependent on;залежний від;Im Gastgewerbe **ist man auf flexible Arbeitszeiten angewiesen**.
der Anspruch, "-e;claim, right;претензія, право;Bei einer Kündigung **hat man unter Umständen Anspruch auf eine finanzielle Abfindung**.
das Arbeitslosengeld (Sg.);unemployment benefit;допомога по безробіттю;Nach dem Arbeitsplatzverlust **kann man bei der Bundesagentur für Arbeit Arbeitslosengeld beantragen**.
die Arbeitslosenversicherung, -en;unemployment insurance;страхування на випадок безробіття;Die Arbeitslosenversicherung **ist Teil der gesetzlichen Sozialversicherungssysteme**.
der Ausgleich (Sg.);balance, compensation;баланс, компенсація;Der Freizeitausgleich **dient als Ausgleich für die geleisteten Überstunden**.
der Beamte, -n / die Beamtin, -nen;civil servant;державний службовець;Beamte **unterliegen nicht der Versicherungspflicht in der gesetzlichen Rentenversicherung**.
etw. beantragen (beantragt, beantragte, hat beantragt);to apply for;подавати заяву на;Für die stufenweise Wiedereingliederung **müssen wir einen Zuschuss beantragen**.
sich begeben (begibt sich, begab sich, hat sich begeben);to go, to proceed;відправлятися, йти;Bei einem Feueralarm **müssen sich alle Mitarbeiter umgehend zum Sammelplatz begeben**.
die Beihilfe, -n;aid, subsidy;допомога, субсидія;Der Arbeitgeber **zahlt den Beschäftigten unter bestimmten Bedingungen eine Beihilfe**.
die Betriebsrente, -n;company pension;корпоративна пенсія;Die Betriebsrente **stellt eine zusätzliche Absicherung für den Ruhestand dar**.
etw. bewilligen (bewilligt, bewilligte, hat bewilligt);to approve, to grant;затверджувати, давати дозвіл;Die Geschäftsleitung **hat die Kosten für die Weiterbildungsmaßnahme bewilligt**.
der Bürger, - / die Bürgerin, -nen;citizen;громадянин;Die Kommunalverwaltung **ist für die Anliegen der Bürger zuständig**.
das Elterngeld (Sg.);parental allowance;допомога на дитину (для батьків у декреті);Während der Elternzeit **kann man Elterngeld bei der zuständigen Stelle beantragen**.
das Existenzminimum (Sg.);subsistence level;прожитковий мінімум;Die Pfändungsfreigrenze **soll das verfassungsrechtliche Existenzminimum des Schuldners absichern**.
die Grundsicherung (Sg.);basic social security;базове соціальне забезпечення;Personen ohne ausreichendes Einkommen **haben Anspruch auf die staatliche Grundsicherung**.
der Jahresverdienst, -e;annual earnings;річний дохід;<b>Aus der Grafik geht hervor, dass sich der durchschnittliche Jahresverdienst erhöht hat</b>.
das Kindergeld (Sg.);child benefit;допомога на дитину;Das Kindergeld **wird unabhängig vom Einkommen der Eltern ausgezahlt**.
das Krankengeld (Sg.);sick pay;допомога по хворобі;Nach sechs Wochen Lohnfortzahlung **erhält der Arbeitnehmer Krankengeld von der Krankenkasse**.
die Krankenversicherung, -en;health insurance;медичне страхування;Die gesetzliche Krankenversicherung **übernimmt die Kosten für ärztliche Behandlungen**.
die Leistung, -en;performance, benefit;продуктивність, виплата;Die Leistungsbeurteilung **wird in der Personalakte des Beschäftigten hinterlegt**.
das Nettoeinkommen, -;net income;чистий дохід (нетто);Das Nettoeinkommen **bleibt nach dem Abzug von Steuern und Sozialabgaben übrig**.
oberhalb (+ Gen.);above;вище, над;Bei einem Einkommen **oberhalb der Versicherungspflichtgrenze kann man sich privat versichern**.
die Pension, -en;pension (for civil servants);пенсія (для держслужбовців);Im Gegensatz zur Rente **erhalten Beamte im Ruhestand eine Pension**.
das Pflegegeld (Sg.);long-term care allowance;допомога по догляду;Das Pflegegeld **unterstützt Pflegebedürftige bei der häuslichen Pflege**.
die Pflegeversicherung, -en;long-term care insurance;страхування на випадок потреби в догляді;Die Beiträge zur Pflegeversicherung **wurden durch eine Gesetzesänderung angepasst**.
die Pflichtversicherung, -en;compulsory insurance;обов'язкове страхування;Die Rentenversicherung **ist für die meisten Arbeitnehmer eine gesetzliche Pflichtversicherung**.
die Rente, -n;pension;пенсія;Das Umlageverfahren **sichert die Finanzierung der gesetzlichen Rente ab**.
das Rentenalter (Sg.);retirement age;пенсійний вік;Das gesetzliche Rentenalter **wurde stufenweise auf 67 Jahre angehoben**.
die Rentenversicherung, -en;pension insurance;пенсійне страхування;Die Rentenversicherung **gewährt im Invaliditätsfall eine Erwerbsminderungsrente**.
der Sonderstatus (Sg.);special status;особливий статус;Schwangere Mitarbeiterinnen **genießen einen gesetzlichen Sonderstatus beim Kündigungsschutz**.
sozial;social;соціальний;Die soziale Partnerschaft **ist die Grundlage für faire Tarifverträge**.
die Sozialhilfe (Sg.);social assistance, welfare;соціальна допомога;Die Sozialhilfe **sichert die Existenz von hilfsbedürftigen Personen ab**.
der Sozialstaat, -en;welfare state;соціальна держава;Das Grundgesetz **verankert das Prinzip Deutschlands als Sozialstaat**.
die Sozialversicherung, -en;social security;соціальне страхування;Der Arbeitgeber **ist verpflichtet, die Mitarbeiter bei der Sozialversicherung anzumelden**.
unterhalb (+ Gen.);below;нижче, під;Liegt das Einkommen **unterhalb der Pfändungsgrenze, ist eine Pfändung ausgeschlossen**.
etw. vorlegen;to submit, to present;надавати, пред'являти;Sie müssen dem Personalverantwortlichen **ein ärztliches Attest vorlegen**.
das Wohngeld (Sg.);housing allowance;допомога на оплату житла;Bei geringem Einkommen **kann man einen Zuschuss in Form von Wohngeld beantragen**.
die Abgabe, -n;tax, duty, submission;податок, збір, здача;Die Lohnsteuer **ist eine gesetzliche Abgabe, die direkt vom Lohn abgezogen wird**.
alleinerziehend;single parent;який виховує дитину сам;Alleinerziehende Mütter **haben oft Anspruch на besondere Steuererleichterungen**.
der Arbeitgeberanteil (Sg.);employer's contribution;частка роботодавця (у страхуванні);Der Arbeitgeberanteil **an den Sozialabgaben beträgt ungefähr die Hälfte**.
ausmachen;to amount to, to turn off;складати (суму), вимикати;Die Lohnnebenkosten **machen einen erheblichen Teil der Gesamtkosten aus**.
der Auszahlungsbetrag, "-e;payout amount, net amount;сума до виплати;Der tatsächliche Auszahlungsbetrag **wird am Monatsende auf Ihr Gehaltskonto überwiesen**.
der Beitrag, "-e;contribution, post;внесок, стаття;Die Höhe der Beiträge **richtet sich nach dem Bruttogehalt des Versicherten**.
die Einkommensteuer, -n;income tax;прибутковий по податок;Die Einkommensteuer **wird am Jahresende mit der Steuererklärung abgerechnet**.
die Erwerbstätigkeit, -en;employment, gainful occupation;трудова діяльність, зайнятість;Die Aufnahme einer Erwerbstätigkeit **ist dem Jobcenter unverzüglich zu melden**.
evangelisch;Protestant, Evangelical;євангельський, протестантський;Wenn der Mitarbeiter evangelisch ist, **wird Kirchensteuer auf der Gehaltsabrechnung ausgewiesen**.
die Gehaltsabrechnung, -en;payslip;розрахунковий листок;Die Gehaltsabrechnung **weist das Bruttogehalt und das Nettogehalt fehlerfrei aus**.
die Gemeinde, -n;municipality, community;громада, муніципалітет;Die Gemeinde **erhebt die Gewerbesteuer nach einem individuellen Hebesatz**.
gleichgeschlechtlich;same-sex;одностатевий;Das Gesetz **garantiert gleichgeschlechtlichen Lebensgemeinschaften dieselben Rechte**.
jüdisch;Jewish;єврейський;Mitglieder der jüdischen Gemeinde **zahlen eine entsprechende Kultussteuer**.
katholisch;Catholic;католицький;Für katholische Arbeitnehmer **wird die Kirchensteuer vom Arbeitgeber abgeführt**.
die Kirchensteuer, -n;church tax;церковний податок;Die Kirchensteuer **wird zusammen mit der Lohnsteuer vom Finanzamt erhoben**.
etw. kombinieren (kombiniert, kombinierte, hat kombiniert);to combine;комбінувати, поєднувати;Wir müssen theoretisches Wissen **mit praktischer Berufserfahrung kombinieren**.
die Lebensgemeinschaft, -en;partnership, cohabitation;спільне проживання, партнерство;Die eingetragene Lebensgemeinschaft **beeinflusst die Wahl der Steuerklasse**.
die Lohnsteuer, -n;wage tax, income tax (on wages);податок із заробітної плати;Die Lohnsteuer **wird monatlich direkt vom Bruttogehalt abgezogen**.
die Lohnsteuerkarte, -n;income tax card;податкова картка;Die Daten der Lohnsteuerkarte **stehen dem Arbeitgeber elektronisch zur Verfügung**.
der Solidaritätszuschlag (Sg.);solidarity surcharge (Soli);надбавка за солідарність (Soli);Der Solidaritätszuschlag **wurde durch eine Gesetzesreform für viele abgeschafft**.
sonstig;other, miscellaneous;інший, інше;Sonstige Bezüge **müssen auf der Gehaltsabrechnung separat ausgewiesen werden**.
die Steuerklasse, -n;tax class / bracket;податковий клас;Die Steuerklasse **wirkt sich direkt auf das monatliche Nettoeinkommen aus**.
die Steuerklasse I;tax class 1 (single, divorced);податковий клас 1 (одинокі);Ledige Arbeitnehmer **werden in der Regel in die Steuerklasse I eingestuft**.
die Steuerklasse II;tax class 2 (single parent);податковий клас 2 (одинокі батьки);<b>Für alleinerziehende Mütter ist die Steuerklasse II vorgesehen</b>.
die Steuerklasse III;tax class 3 (married, higher income);податковий клас 3 (одружені, більший дохід);Die Steuerklasse III **bietet verheirateten Paaren steuerliche Vorteile**.
die Steuerklasse IV;tax class 4 (married, equal income);податковий клас 4 (одружені, рівні доходи);Eheleute mit gleichem Einkommen **wählen meist die Steuerklasse IV**.
die Steuerklasse V;tax class 5 (married, lower income);податковий клас 5 (одружені, менший дохід);Die Steuerklasse V **führt zu einer höheren Steuerlast auf das Bruttogehalt**.
die Steuerklasse VI;tax class 6 (second job);податковий клас 6 (друга робота);Für einen Zweitjob **wird automatisch die Steuerklasse VI angewendet**.
das Anstellungsverhältnis, -se;employment relationship;трудові відносини (найм);Das Anstellungsverhältnis **wird im Arbeitsvertrag schriftlich vereinbart**.
die gesetzliche Krankenkasse, -n;statutory health insurance fund;державна каса медичного страхування;Die gesetzliche Krankenkasse **ist für die Auszahlung des Krankengeldes zuständig**.
die private Krankenkasse, -n;private health insurance fund;приватна каса медичного страхування;Bei einer privaten Krankenkasse **hängen die Beiträge vom individuellen Risiko ab**.
das Kindergeldbezieher, - / die Kindergeldbezieherin, -nen;recipient of child benefit;отримувач допомоги на дитину;Die Kindergeldbezieher **müssen jede Änderung der Lebensumstände melden**.
die Familienkasse, -n;family benefits office;сімейна каса (видає Kindergeld);Die Familienkasse **ist für die Bewilligung und Auszahlung des Kindergelds zuständig**.
der Kindergeldantrag, "-e;child benefit application;заява на допомогу на дитину;Der Kindergeldantrag **wurde bei der Familienkasse eingereicht**.
die Kindergeldauszahlung, -en;child benefit payment;виплата допомоги на дитину;Die Kindergeldauszahlung **erfolgt monatlich auf das angegebene Bankkonto**.
die Elterngeldstelle, -n;parental allowance office;відомство з виплати батьківської допомоги;Die Elterngeldstelle **prüft den Elterngeldantrag auf Vollständigkeit**.
der Elterngeldantrag, "-e;parental allowance application;заява на отримання батьківської допомоги;Bitte **reichen Sie den Elterngeldantrag innerhalb der gesetzlichen Frist ein**.
die Elterngeldbezug, "-e;receipt of parental allowance;період отримання батьківської допомоги;Während des Elterngeldbezugs **darf man in Teilzeit weiterarbeiten**.
die Bundesagentur für Arbeit (BA) (Sg.);Federal Employment Agency;Федеральне агентство праці (BA);Die BA **unterstützt Arbeitssuchende bei der Stellensuche**.
die Agentur für Arbeit (Sg.);Employment Agency;Агентство праці (локальне);Die Agentur für Arbeit **erteilt Auskünfte über Weiterbildungsmaßnahmen**.
das Jobcenter, -;job center;центр зайнятості;Das Jobcenter **ist für die Grundsicherung für Arbeitsuchende zuständig**.
die Bürgergeld (Sg.);citizen's income (basic social welfare in Germany);громадянська допомога (Bürgergeld);Das Bürgergeld **sichert das verfassungsrechtliche Existenzminimum ab**.
die Bürgergeldempfänger, - / die Bürgergeldempfängerin, -nen;recipient of citizen's income;отримувач громадянської допомоги;Die Bürgergeldempfänger **haben eine Mitwirkungspflicht bei der Arbeitssuche**.
die Mitwirkungspflicht, -en;duty to cooperate / obligation to assist;обов'язок співпраці (надання інформації державним органам);Eine Verletzung der Mitwirkungspflicht **kann zu einer Leistungskürzung führen**.
die Leistungskürzung, -en;reduction of benefits / sanction;скорочення (зменшення) виплат (санкція);Die Leistungskürzung **wurde im schriftlichen Bescheid genau begründet**.
die Eingliederungsvereinbarung, -en;integration agreement (between jobseeker and jobcenter);угода про інтеграцію (працевлаштування);Die Eingliederungsvereinbarung **beinhaltet konkrete Schritte zur Stellensuche**.
die Kooperationsplan, "-e;cooperation plan;план співпраці (між безробітним та центром);Der Kooperationsplan **ersetzt die bisherige Eingliederungsvereinbarung**.
die zumutbare Arbeit;acceptable work / reasonable employment;прийнятна (підходяща) робота;Ein Bürgergeldempfänger **muss jede zumutbare Arbeit annehmen**.
die Zumutbarkeit (Sg.);reasonableness / acceptability;прийнятність (відповідність вимогам закону щодо роботи);Die Zumutbarkeit der angebotenen Stelle **wird im Einzelfall geprüft**.
die Arbeitsvermittlung (Sg.);job placement / employment service;працевлаштування, посередництво в роботі;Die Arbeitsvermittlung **erfolgt durch die Berater der Agentur für Arbeit**.
der Arbeitsvermittler, - / die Arbeitsvermittlerin, -nen;employment agent / job placement officer;консультант з працевлаштування;Der Arbeitsvermittler **hat dem Bewerber ein Jobangebot unterbreitet**.
die Vermittlungsvorschlag, "-e;job placement proposal / referral;пропозиція щодо працевлаштування (від центру зайнятості);Auf den Vermittlungsvorschlag **muss man sich innerhalb von drei Tagen bewerben**.
die Bewerbungsbemühungen (Pl.);job application efforts;зусилля щодо пошуку роботи (подача резюме);Der Arbeitslose **muss seine Bewerbungsbemühungen monatlich nachweisen**.
die Eigenbemühungen (Pl.);own efforts (in job search);власні зусилля (щодо пошуку роботи);Die Eigenbemühungen **sind Voraussetzung für den Erhalt von Leistungen**.
die Bewerbungskosten (Pl.);application costs;витрати на подачу резюме (пошук роботи);Die Bewerbungskosten **werden unter bestimmten Bedingungen vom Jobcenter erstattet**.
die Reisekostenrückerstattung (Sg.);reimbursement of travel expenses;відшкодування витрат на поїздку (на співбесіду);Die Reisekostenrückerstattung **kann vor dem Vorstellungsgespräch beantragt werden**.
die Mobilitätshilfe, -n;mobility aid / subsidy;допомога на мобільність (напр., витрати на переїзд до місця роботи);Die Mobilitätshilfe **unterstützt die Aufnahme einer auswärtigen Erwerbstätigkeit**.
die Umzugskosten (Pl.);moving costs;витрати на переїзд;Die Umzugskosten **werden bei einer berufsbedingten Umschulung übernommen**.
die Einstiegsgeld (Sg.);starting grant / introductory subsidy (for taking a job);допомога на первинне працевлаштування (Einstiegsgeld);Das Einstiegsgeld **wird als Anreiz für die Aufnahme einer Beschäftigung gezahlt**.
die Lohnkostenzuschuss, "-e;wage subsidy;субсидія на заробітну плату (роботодавцю);Für die Einstellung von Langzeitarbeitslosen **gibt es einen Lohnkostenzuschuss**.
die Eingliederungszuschuss, "-e;integration subsidy;інтеграційна субсидія (доплата роботодавцю);Der Eingliederungszuschuss **wird für die Dauer der Einarbeitungsphase gezahlt**.
die Beschäftigungszuschuss, "-e;employment subsidy;доплата на працевлаштування (субсидія);Der Beschäftigungszuschuss **dient der Integration schwer vermittelbarer Personen**.
die Aktivierungs- und Vermittlungsgutschein (AVGS), -e;activation and placement voucher (AVGS);ваучер на активацію та працевлаштування (AVGS);Mit dem AVGS **kann man die Dienste einer privaten Vermittlungsagentur nutzen**.
die Bildungsgutschein, -e;training voucher;освітній ваучер (на навчання/курси);Ich habe einen Bildungsgutschein **für eine berufliche Weiterbildung erhalten**.
die Umschulungsmaßnahme, -n;retraining measure;заходи з перекваліфікації;Die Umschulungsmaßnahme **wird in vollem Umfang durch den Bildungsgutschein finanziert**.
die Rentenberater, - / die Rentenberaterin, -nen;pension consultant;пенсійний консультант;Der Rentenberater **hilft bei der Berechnung der zukünftigen Rente**.
die Rentenauskunft, "-e;pension statement / information;довідка про стан пенсійного рахунку (накопичення);Die Rentenauskunft **gibt Aufschluss über die Höhe des Rentenanspruchs**.
die Renteninformation, -en;annual pension information;щорічна інформація про пенсію (лист від DRV);Die Renteninformation **wird jedem Versicherten einmal jährlich zugeschickt**.
die Wartezeit, -en;waiting period / qualifying period;час очікування (пенсійний стаж сплати внесків);Für den Anspruch auf Altersrente **ist eine Wartezeit von fünf Jahren erforderlich**.
die Pflichtbeitragszeit, -en;period of compulsory contributions;період обов'язкових внесків;Die Pflichtbeitragszeiten **wirken sich maßgeblich auf die Rentenhöhe aus**.
die Anrechnungszeit, -en;credited period (for pension - e.g. sickness, study);період, що зараховується до стажу (напр., навчання, хвороба);Die Ausbildungszeit **wird als Anrechnungszeit in der Rentenformel berücksichtigt**.
die Kindererziehungszeit, -en;child-raising period (credited for pension);період виховання дітей (зараховується до стажу);Die Kindererziehungszeiten **führen zu einer Steigerung der Rentenanwartschaft**.
die Rentenanwartschaft, -en;pension entitlement / accrued rights;накопичені пенсійні права (очікування пенсії);Die Rentenanwartschaft **kann bei einer Scheidung aufgeteilt werden**.
die Versorgungsausgleich (Sg.);equalization of pension points (in divorce);вирівнювання пенсійних прав (при розлученні);Der Versorgungsausgleich **wird vom Familiengericht von Amts wegen durchgeführt**.
die Versorgungsausgleichskasse, -n;pension equalization fund;каса пенсійного вирівнювання;Die Versorgungsausgleichskasse **verwaltet die übertragenen Rentenpunkte**.
der Rentenpunkt, -e;pension point / earning point;пенсійний бал;Die Höhe der Rente **basiert auf der Anzahl der gesammelten Rentenpunkte**.
die Entgeltpunkt, -e;earning point (pension point);бал заробітку (пенсійний бал);Ein Entgeltpunkt **entspricht dem Durchschnittseinkommen eines Kalenderjahres**.
die aktuelle Rentenwert (Sg.);current pension value;поточна вартість пенсійного бала;Der aktuelle Rentenwert **wird jährlich zum 1. Juli gesetzlich angepasst**.
die Rentenanpassung, -en;pension adjustment / increase;коригування (індексація) пенсії;Die Rentenanpassung **folgt der allgemeinen Lohnentwicklung im Land**.
die Rentenerhöhung, -en;pension increase;підвищення пенсій;Die Rentenerhöhung **stieß auf positive Rückmeldungen bei den Senioren**.
die Altersrente, -n;old-age pension;пенсія за віком;Die Altersrente **sichert den Lebensunterhalt nach dem Ausscheiden aus dem Beruf**.
die Regelaltersrente, -n;standard old-age pension;стандартна пенсія за віком;Der Anspruch auf Regelaltersrente **erfordert das Erreichen des Regelalters**.
die Regelaltersgrenze (Sg.);standard retirement age;стандартний пенсійний вік (межа);Die Regelaltersgrenze **hängt vom Geburtsjahrgang des Versicherten ab**.
die vorzeitige Rente;early retirement pension;дострокова пенсія;Eine vorzeitige Rente **ist mit dauerhaften Abschlägen verbunden**.
die Rentenabschlag, "-e;pension reduction / deduction (for early retirement);зменшення (вирахування з) пенсії (за достроковий вихід);Die Rentenabschläge **betragen 0,3 Prozent pro Monat des vorzeitigen Eintritts**.
die abschlagsfreie Rente;deduction-free pension;пенсія без вирахувань;Eine abschlagsfreie Rente **ist nach 45 Beitragsjahren gesetzlich möglich**.
die Rente für besonders langjährig Versicherte;pension for long-term contributors;пенсія для осіб з дуже тривалим стажем (45 років);Die Rente für besonders langjährig Versicherte **wird oft als „Rente mit 63“ bezeichnet**.
die Rente mit 63;retirement at 63;вихід на пенсію в 63 роки;Die Rente mit 63 **setzt eine 45-jährige Pflichtbeitragszeit voraus**.
die Altersteilzeit (Sg.);partial retirement;неповна зайнятість для літніх працівників перед пенсією (альтерстайльцайт);Die Altersteilzeit **ermöglicht einen gleitenden Übergang in den Ruhestand**.
die Blockmodell (Sg.);block model (in partial retirement);блочна модель (працюєш повний час, потім взагалі не працюєш);Beim Blockmodell **wird die Altersteilzeit in eine Arbeits- und eine Freistellungsphase unterteilt**.
die Arbeitsphase, -n;active phase (working phase);активна фаза (фаза роботи);In der Arbeitsphase **arbeitet der Beschäftigte trotz halbiertem Gehalt voll**.
die Freistellungsphase, -n;passive phase (release phase);пасивна фаза (фаза звільнення від роботи перед пенсією);In der Freistellungsphase **erfolgt der Rentenübergang ohne weitere Arbeitsleistung**.
die Aufstockungsbetrag, "-e;top-up amount (in partial retirement);доплата (нарахування) до зарплати/внесків;Der Arbeitgeber **zahlt einen Aufstockungsbetrag zum Gehalt in der Altersteilzeit**.
die Altersteilzeitvereinbarung, -en;partial retirement agreement;угода про передпенсійну часткову зайнятість;Die Altersteilzeitvereinbarung **muss schriftlich abgeschlossen werden**.
die Vorruhestand, "-e;early retirement;достроковий вихід на пенсію (передпенсійний статус);Der Vorruhestand **kann im Sozialplan als Abfindungsersatz vereinbart sein**.
die Vorruhestandsregelung, -en;early retirement scheme;регулювання дострокового виходу на пенсію;Eine attraktive Vorruhestandsregelung **soll den Personalabbau sozialverträglich gestalten**.
die sozialverträglich;socially acceptable;соціально прийнятний (гуманний);Der Stellenabbau **wurde durch Abfindungen sozialverträglich gestaltet**.
die Personalabbau (Sg.);reduction of staff / downsizing;скорочення штату (персоналу);Infolge der schlechten Konjunktur **ist ein Personalabbau unumgänglich**.
die Stellenabbau (Sg.);job cuts;скорочення робочих місць;Der Stellenabbau **betrifft überwiegend kaufmännische Positionen**.
die Betriebsschließung, -en;company closure / shutdown;закриття підприємства;Die Betriebsschließung **stellte die Belegschaft vor eine existenzbedrohende Situation**.
die Stilllegung, -en;closure / decommissioning;припинення експлуатації, закриття;Die Stilllegung der Werkhalle **wurde im gegenseitigen Einvernehmen beschlossen**.
die Massenentlassung, -en;mass dismissal / layoff;масове звільнення;Eine Massenentlassung **muss vorab bei der Agentur für Arbeit angezeigt werden**.
die Massenentlassungsanzeige, -n;notification of mass layoffs;повідомлення про масове звільнення;Die Massenentlassungsanzeige **ist Voraussetzung für die Wirksamkeit der Kündigungen**.
die Entlassungswelle, -n;wave of layoffs;хвиля звільнень;Eine neue Entlassungswelle **verursacht große Aufregung im Betrieb**.
die Fluktuation, -en;staff turnover / fluctuation;текучість кадрів (флуктуація);Eine hohe Fluktuation **weist auf ein schlechtes Arbeitsklima hin**.
die Fluktuationsquote, -n;fluctuation rate / turnover rate;показник текучості кадрів;Die Reduzierung der Fluktuationsquote **ist ein Ziel der Personalentwicklung**.
die Mitarbeiterbindung (Sg.);employee retention / loyalty;утримання співробітників (лояльність);Mitarbeiterbindung **wird durch gute Sozialleistungen and Vertrauensarbeitszeit gefördert**.
die Betriebsklima (Sg.);working climate / company climate;робочий клімат (атмосфера);Ein gutes Betriebsklima **steht im Zusammenhang mit flachen Hierarchien**.
