#separator:;
#html:true
#columns:German;English;Ukrainian;Example
das Arbeitsklima (Sg.);working atmosphere;робоча атмосфера;Ein gutes Arbeitsklima **wirkt sich positiv auf das Wohlbefinden und die Leistung aus**.
die Atmosphäre (Sg.);atmosphere;атмосфера;Eine freundliche Atmosphäre **trägt entscheidend zur Konfliktlösung im Team bei**.
ausreden (lässt ausreden, ließ ausreden, hat ausreden lassen);to finish speaking;договорити (до кінця);Bei Teambesprechungen **ist es eine wichtige Gesprächsregel, den Redner ausreden zu lassen**.
die Ausstattung, -en;equipment, facilities;обладнання, оснащення;Eine ergonomische Ausstattung des Arbeitsplatzes **beugt gesundheitlichen Belastungen vor**.
das Beratungsgespräch, -e;consultation, advisory discussion;консультація;Das Beratungsgespräch **gab dem Kunden einen guten Überblick über unsere Dienstleistungen**.
der Besprechungspunkt, -e;agenda item, point of discussion;пункт обговорення;Wir müssen den wichtigsten Besprechungspunkt **heute unbedingt noch zur Sprache bringen**.
der Bestseller, -;bestseller;бестселер;Dieses neue Handbuch zur Qualitätskontrolle ist ein echter Bestseller **in unserer Branche**.
die Beteiligung, -en;participation;участь;Die Beteiligung aller Teammitglieder **an der Sicherheitsunterweisung ist zwingend erforderlich**.
dadurch, dass;due to the fact that, because;через те, що;<b>Dadurch, dass wir die Prozesse modernisiert haben, konnten wir die Effizienz steigern</b>.
effektiv;effective(ly);ефективний;Um effektiv zu arbeiten, müssen wir **regelmäßig Absprachen mit den Kollegen treffen**.
die Ergänzung, -en;addition, supplement;доповнення;Ich habe noch eine kurze Ergänzung **zu dem gestern vorgelegten Schlichtungsvorschlag**.
etw. erledigen (erledigt, erledigte, hat erledigt);to complete, to get done;виконувати;Als Vertretungskraft muss ich die dringenden Aufgaben des Kollegen <b>erledigen</b>.
etw. festlegen (legt fest, legte fest, hat festgelegt);to determine, to set;визначати, встановлювати;Wir müssen den genauen Ablauf der Betriebsferien **in der Betriebsvereinbarung festlegen**.
die Gelegenheit bieten (bietet, bot, hat geboten);to offer an opportunity;надавати можливість;Die Jobmesse **bietet eine gute Gelegenheit, Kontakt mit potenziellen Arbeitgebern aufzunehmen**.
die Gesprächsregel, -n;rule of conversation;правило спілкування;Die Einhaltung der Gesprächsregeln **ist wichtig für ein konstruktives Mitarbeitergespräch**.
etw. gestalten (gestaltet, gestaltete, hat gestaltet);to design, to structure;оформлювати, структурувати;Wir wollen die Arbeitszeitregelung so <b>gestalten</b>, dass alle damit einverstanden sind.
sich halten an (+ Akk.) (hält sich, hielt sich, hat sich gehalten);to stick to, to abide by;дотримуватися (чогось);Die Mitarbeiter müssen sich strikt **an die Richtlinien zur Unfallverhütung halten**.
indem;by (doing something);тим, що / шляхом;Wir verbessern die Arbeitsbedingungen, **indem wir Maßnahmen zur Lärmminderung ergreifen**.
die Klarheit, -en;clarity;ясність, чіткість;Wir müssen Klarheit **über die zukünftige Aufgabenteilung im Betrieb gewinnen**.
Kritik üben;to criticize;критикувати;Es ist unprofessionell, im Beisein von Kunden **Kritik an Kollegen zu üben**.
leiten (leitet, leitete, hat geleitet);to lead, to manage;керувати;Die Personalchefin wird die Verhandlungen über den Haustarifvertrag <b>leiten</b>.
das Meeting, -s;meeting;мітинг, зустріч;Im Meeting **haben wir über die behindertengerechte Anpassung der Arbeitsplätze gesprochen**.
das Prospektmaterial, -ien;brochures, promotional material;рекламні матеріали;Unser Verkaufsberater **stellt dem Kunden umfangreiches Prospektmaterial zur Verfügung**.
das Protokoll, -e;protocol, minutes;протокол, лог;Die getroffenen Absprachen **müssen im Protokoll schriftlich dokumentiert werden**.
der Stand (Sg.);status, state;стан;Bitte halten Sie mich **über den aktuellen Stand der Personalsuche auf dem Laufenden**.
die Tagesordnung, -en;agenda;порядок денний;Auf der Tagesordnung des Betriebsrats **stehen heute wichtige Fragen zum Arbeitsschutz**.
