#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Empfang, "-e;reception;прийом, рецепція;Melden Sie sich bitte direkt **am Empfang unseres Betriebsgebäudes an**.
die Personalabteilung, -en;HR department;відділ кадрів;Die Personalabteilung **ist für die Durchführung des Bewerbungsverfahrens zuständig**.
die Kantine, -n;canteen;їдальня;In unserer Kantine **ist das Mitbringen von eigenen Speisen nicht gestattet**.
das Lager, -;warehouse;склад;Der Gabelstapler **wird ausschließlich für den Warentransport im Lager eingesetzt**.
die Produktion (Sg.);production;виробництво;Die Produktion **wurde wegen eines Defekts an der Kältemaschine vorübergehend eingestellt**.
die Forschung, -en;research;дослідження;Unser Unternehmen **investiert viel Geld in die Forschung und Entwicklung**.
die Entwicklung, -en;development;розробка;Die Entwicklung des neuen Produkts **leistet einen wichtigen Beitrag zur Existenzsicherung**.
der Betriebsrat, "-e / die Betriebsrätin, -nen;works council (member);виробнича рада / членкиня ради;Der Betriebsrat **kann bei einer ungerechtfertigten Kündigung Widerspruch einlegen**.
die Geschäftsführung, -en;management;керівництво;Die Geschäftsführung **beschließt die Einführung einer betrieblichen Altersvorsorge**.
die Finanzbuchhaltung, -en;financial accounting;бухгалтерія;Die Finanzbuchhaltung **überprüft die ordnungsgemäße Verbuchung aller Einnahmen**.
die Einarbeitung, -en;induction, orientation;введення в курс справи (стажування);Während der Einarbeitung **wird der neue Mitarbeiter vom Sicherheitsbeauftragten unterwiesen**.
der Ansprechpartner, - / die Ansprechpartnerin, -nen;contact person;контактна особа;Unser Sicherheitsbeauftragter **ist der zuständige Ansprechpartner für Arbeitsschutzfragen**.
die Pausenregelung, -en;break policy;правило перерв;Die Pausenregelung **wird in der Betriebsvereinbarung verbindlich festgelegt**.
der Rundgang, "-e;tour (of a building);обхід, екскурсія;Der Abteilungsleiter **macht einen Rundgang durch die neue Produktionshalle**.
sich weiter|bilden (bildet sich weiter, bildete sich weiter, hat sich weitergebildet);to continue education;підвищувати кваліфікацію;Angestellte **sollten sich regelmäßig weiterbilden, um ihre Karrierechancen zu verbessern**.
sich ärgern über (+ Akk.) (ärgert sich, ärgerte sich, hat sich geärgert);to be annoyed about;сердитися через;Wir ärgern uns über die mangelhafte Qualität der gelieferten Rohstoffe.
der Berufsalltag (Sg.);professional life;професійні будні;Der Berufsalltag **erfordert eine ständige Anpassung an neue Sicherheitsrichtlinien**.
die Erfahrung, -en;experience;досвід;Unsere Fachkräfte **verfügen über eine langjährige Erfahrung in der Lagerlogistik**.
Erfahrung haben mit (+ Dat.);to have experience with;мати досвід у;Er hat viel Erfahrung **mit der Wartung von automatisierten Verpackungsanlagen**.
sich freuen auf (+ Akk.) (freut sich, freute sich, hat sich gefreut);to look forward to;чекати з нетерпінням (на щось у майбутньому);Die Auszubildenden **freuen sich auf den Beginn ihrer praktischen Arbeit**.
sich freuen über (+ Akk.);to be happy about;радіти (чомусь, що вже є);Die Belegschaft **freut sich über die Bewilligung des zusätzlichen Weihnachtsgelds**.
gehören zu (+ Dat.) (gehört, gehörte, hat gehört);to belong to;належати до;Das Führen des Berichtshefts **gehört zu den Pflichten eines Auszubildenden**.
es geht um (+ Akk.);it's about;йдеться про;In der Betriebsversammlung **geht es um die geplante Standortsicherung**.
ein Gespräch führen (führt, führte, hat geführt);to lead a conversation;вести розмову;Der Betriebsrat **muss ein ernstes Gespräch mit dem Werkleiter führen**.
sich interessieren für (+ Akk.) (interessiert sich, interessierte sich, hat sich interessiert);to be interested in;цікавитися;Immer mehr Fachkräfte **interessieren sich für Arbeitszeitmodelle in Teilzeit**.
investieren in (+ Akk.) (investiert, investierte, hat investiert);to invest in;інвестувати в;Der Betrieb **muss dringend in modernere Lärmschutzmaßnahmen investieren**.
statt|finden (fand statt, hat stattgefunden);to take place;відбуватися;Die jährliche Evakuierungsübung **findet während der regulären Arbeitszeit statt**.
etw. vermitteln (vermittelt, vermittelte, hat vermittelt);to convey, to mediate;передавати (знання), посередничати;Die Fortbildungsmaßnahme **soll den Teilnehmern fortgeschrittene EDV-Kenntnisse vermitteln**.
die Voraussetzung, -en;requirement;умова, передумова;Eine gültige Arbeitserlaubnis **ist Voraussetzung für die Begründung des Arbeitsverhältnisses**.
die Webseite, -n;website;веб-сторінка;Die Webseite des Handwerksbetriebs **wurde für die Stellensuche optimiert**.
das Ergebnisprotokoll, -e;minutes of a meeting;протокол результатів зустрічі;Das Ergebnisprotokoll **wird nach der Teamsitzung an alle Beteiligten versendet**.
die Besprechung, -en;meeting;нарада;In der wöchentlichen Besprechung **wurden wichtige Entscheidungen zum Budget getroffen**.
die Teamsitzung, -en;team meeting;командна нарада;Die Teamsitzung **dient der besseren Koordination des Arbeitseinsatzes**.
etw. zusammen|fassen (fasst zusammen, fasste zusammen, hat zusammengefasst);to summarize;підсумовувати;Könnten Sie die wichtigsten Kernpunkte des Businessplans **kurz zusammenfassen**?
der Beschluss, "-e;decision;рішення, постанова;Der Beschluss über die Einführung von Kurzarbeit **wurde einstimmig gefasst**.
die Entscheidung, -en;decision;рішення;Die Entscheidung des Arbeitgebers **stieß bei der Belegschaft auf heftige Kritik**.
die Vereinbarung, -en;agreement;угода, домовленість;Die Betriebsvereinbarung **enthält wichtige Regelungen zum betrieblichen Gesundheitsschutz**.
die Tagesordnung, -en;agenda;порядок денний;Der Punkt „Unfallverhütung“ **steht heute als Erstes auf der Tagesordnung**.
das Stichwort, -e;keyword;ключове слово;Bitte **schreiben Sie bei der Besprechung die wichtigsten Stichworte mit**.
etw. dokumentieren (dokumentiert, dokumentierte, hat dokumentiert);to document;документувати;Wir müssen alle Vorfälle am Arbeitsplatz **ordnungsgemäß im Unfallbuch dokumentieren**.
etw. protokollieren (protokolliert, protokollierte, hat protokolliert);to record;протоколювати;Der Schriftführer **muss den Verlauf der Betriebsratssitzung genau protokollieren**.
die Regel, -n;rule;правило;In unserem Werk **gelten strenge Regeln zur Einhaltung der Hygienevorschriften**.
in der Regel;as a rule;як правило;In der Regel **dauert die Probezeit im Arbeitsverhältnis sechs Monate**.
der Teilnehmer, - / die Teilnehmerin, -nen;participant;учасник/-ця;Die Teilnehmer der Weiterbildung **erhalten nach Abschluss ein IHK-Zertifikat**.
etw. vor|schlagen (schlägt vor, schlug vor, hat vorgeschlagen);to suggest;пропонувати;Ich möchte **einen alternativen Termin für das Vorstellungsgespräch vorschlagen**.
der Zweifel, -;doubt;сумнів;Es besteht kein Zweifel, **dass der Arbeitsschutz Vorrang vor der Arbeitsleistung hat**.
etw. schaffen (schafft, schaffte, hat geschafft);to manage;впоратися;Wir werden es schaffen, **das Bauvorhaben vor dem Winter abzuschließen**.
sich etw. merken (merkt sich, merkte sich, hat sich gemerkt);to remember;запам'ятовувати;Bitte **merken Sie sich die Verhaltensregeln im Brandfall ganz genau**.
die Pünktlichkeit (Sg.);punctuality;пунктуальність;Die Pünktlichkeit der Auszubildenden **wird im Ausbildungsbetrieb vorausgesetzt**.
die Begrüßung, -en;greeting;привітання;Bei der Begrüßung der neuen Kollegen **wurde das Leitbild der Firma erklärt**.
der Feierabend, -e;closing time, finish work;кінець робочого дня;Nach dem Feierabend **sollten Arbeitnehmer keine dienstlichen Telefonate mehr führen**.
aufregend;exciting;захоплюючий;Die Existenzgründung **war für den jungen Meister ein aufregender Schritt**.
der Erfolg, -e;success;успіх;Die Sanierungsmaßnahmen **waren ein großer Erfolg für das Familienunternehmen**.
nützlich;useful;корисний;Diese Fortbildung **war für meine tägliche Tätigkeit im Büro sehr nützlich**.
der Berufsverkehr (Sg.);professional traffic;робочий дорожній рух (години пік);Wegen des dichten Berufsverkehrs **kam der Mitarbeiter zu spät zum Schichtwechsel**.
üblich;common;звичайний;In unserem Betrieb **ist das Tragen von Lärmschutz bei der Arbeit üblich**.
lächeln (lächelt, lächelte, hat gelächelt);to smile;усміхатися;Der Personalvermittler **lächelt freundlich beim Betreten des Raumes**.
erwünscht;desired;бажаний;Die Bereitschaft zur Schichtarbeit **ist in der Logistikbranche erwünscht**.
beliebt;popular;популярний;Die Gleitzeitregelung **ist bei der gesamten Belegschaft sehr beliebt**.
im Allgemeinen;in general;взагалі;Im Allgemeinen **ist die Zusammenarbeit im Team von gegenseitigem Respekt geprägt**.
der/die Vorgesetzte, -n;supervisor;керівник/-ця;Der Vorgesetzte **ist verpflichtet, die Gefährdungsbeurteilung durchzuführen**.
sich verabschieden (von + Dat.) (verabschiedet sich, verabschiedete sich, hat sich verabschiedet);to say goodbye;прощатися;Er hat sich gestern **offiziell von allen Kollegen in den Ruhestand verabschiedet**.
