#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Ansprechpartner, - / die Ansprechpartnerin, -nen;contact person;контактна особа;Der Teamleiter **ist der direkte Ansprechpartner bei Konflikten im Team**.
der Aushang, "-e;notice, posting;оголошення;Ich habe den Aushang **bezüglich der neuen Arbeitsschutzmaßnahmen im Werk gelesen**.
das Bewerbungsschreiben, -;letter of application;заява про прийняття на роботу;Im Bewerbungsschreiben **sollte man auf seine fundierte Berufserfahrung eingehen**.
das Bewerbungsverfahren, -;application process;процес подання заявки;Das Bewerbungsverfahren **wird von unserer HR-Abteilung sehr transparent gestaltet**.
der Eindruck, "-e;impression;враження;Die professionelle Messepräsentation **hat einen hervorragenden Eindruck auf die Fachbesucher gemacht**.
die Elektrofirma, -firmen;electrical company;електротехнічна фірма;Die Elektrofirma **ist für die Installation der Lärmschutzvorrichtungen zuständig**.
erwarten (erwartet, erwartete, hat erwartet);to expect;очікувати;Vom neuen Geschäftsführer **erwarten wir eine Verbesserung des Betriebsklimas**.
das Fachpersonal (Sg.);skilled personnel;кваліфікований персонал;Unser Handwerksbetrieb **investiert viel Geld in die Weiterbildung des Fachpersonals**.
fehlerfrei;error-free;без помилок;Das Berichtsheft **muss wöchentlich ordnungsgemäß und fehlerfrei geführt werden**.
die Initiativbewerbung, -en;unsolicited application;ініціативна заявка;Eine Initiativbewerbung **ist oft eine gute Alternative bei der Stellensuche**.
die Installateurfirma, -firmen;plumbing company;сантехнічна фірма;Die Installateurfirma **führt die regelmäßige Wartung der Gasleitung durch**.
die Konkurrenz (Sg.);competition;конкуренція;Mittelständische Betriebe **stehen im ständigen Wettbewerb mit der billigen Konkurrenz**.
der Leiharbeiter, - / die Leiharbeiterin, -nen;temporary worker;тимчасовий працівник/-ця;Der Leiharbeiter **wurde wegen mangelhafter Arbeitsleistung vorzeitig entlassen**.
das Leitbild, -er;mission statement;місія, девіз компанії;Das Leitbild unseres Betriebs **stellt die Kundenzufriedenheit in den Vordergrund**.
der Stand der Dinge;state of affairs;стан справ;<b>Ich bitte Sie, uns über den aktuellen Stand der Dinge zu informieren</b>.
einen Termin bestätigen (bestätigt, bestätigte, hat bestätigt);to confirm an appointment;підтверджувати зустріч;Bitte **bestätigen Sie den vereinbarten Stichtag schriftlich per E-Mail**.
