#separator:;
#html:true
#columns:German;English;Ukrainian;Example
angemessen;appropriate, reasonable;відповідний, доречний, належний;<b>Ich bin der Meinung, dass</b> ein angemessenes Gehalt zur Arbeitsmotivation beiträgt.
der Arbeitgeberverband, "-e;employers' association;спілка роботодавців;Der Arbeitgeberverband **führt Verhandlungen mit der Gewerkschaft über** bessere Tarife.
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt);to negotiate;домовлятися, вести переговори;Im Vorstellungsgespräch konnte ich eine höhere Vergütung und mehr Urlaubstage <b>aushandeln</b>.
der Bescheid, -e;decision, notification;відповідь, рішення, повідомлення;Nach dem Vorstellungsgespräch **warten wir ungeduldig auf den schriftlichen Bescheid**.
Bescheid bekommen (bekommt, bekam, hat bekommen);to be informed, to receive notice;отримати повідомлення / відповідь;Wir werden nächste Woche **Bescheid bekommen**, ob die Bewerbung erfolgreich war.
die Bezahlung, -en;payment, pay;оплата;Eine leistungsgerechte Bezahlung **hat für viele Beschäftigte eine große Bedeutung**.
die Eigenverantwortung (Sg.);personal responsibility;особиста ответственность;Das Arbeiten im Homeoffice **verlangt ein hohes Maß an Eigenverantwortung**.
das Einstiegsgehalt, "-er;starting salary;початкова зарплата;Das Einstiegsgehalt für Absolventen **wurde in der neuen Betriebsvereinbarung festgelegt**.
die Firmenzentrale, -n;headquarters;головний офіс, штаб-квартира;Die Firmenzentrale **befindet sich in Berlin und ist gut an den ÖPNV angebunden**.
der Freizeitausgleich (Sg.);compensatory time off;компенсація вільного часу (відгул за перепрацювання);Für die geleisteten Überstunden **wird den Mitarbeitern ein Freizeitausgleich gewährt**.
die Gewerkschaft, -en;trade union;профспілка;Die Gewerkschaft **hat mit den Vertretern der Arbeitgeber eine Einigung erzielt**.
inklusive;inclusive, including;включно, у тому числі;Die vertraglich vereinbarte Arbeitszeit ist **inklusive der gesetzlichen Pausenzeiten**.
die Mess- und Analysetechnik, -en;measurement and analysis technology;вимірювальна та аналітична техніка;Als Techniker ist er **mit der Wartung der Mess- und Analysetechnik beschäftigt**.
mittelständisch;medium-sized;середній (про бізнес);Mittelständische Unternehmen **legen oft großen Wert auf eine familiäre Unternehmenskultur**.
das Motiv, -e;motive, reason;мотив, причина;Was war Ihr Motiv, **sich um diese vakante Position in unserer Filiale zu bewerben**?
nach Tarif zahlen (zahlt, zahlte, hat gezahlt);to pay according to the collective agreement;платити за тарифною сіткою;<b>Aus der Grafik geht hervor, dass</b> immer weniger mittelständische Betriebe **nach Tarif zahlen**.
der Personalverantwortliche, -n / die Personalverantwortliche, -n;HR manager, person responsible for HR;HR-менеджер, відповідальний за персонал;Die Personalverantwortliche **weist den Bewerber auf den genauen Einarbeitungsplan hin**.
die Produktpalette, -n;product range;асортимент продукції;Wir wollen unsere Produktpalette erweitern, um **neue Absatzmärkte zu erschließen**.
regelmäßig;regular(ly);регулярний;Wir müssen **regelmäßig Sicherheitsunterweisungen für alle Mitarbeiter durchführen**.
der Tarif, -e;tariff, rate, collective agreement;тариф;Die Gehälter in diesem Wirtschaftszweig **richten sich nach dem aktuellen Tarif**.
sich verhalten (verhält sich, verhielt sich, hat sich verhalten);to behave, to act;поводитися;Beim Vorstellungsgespräch sollte man sich höflich und professionell <b>verhalten</b>.
die Verabschiedung (Sg.);farewell, saying goodbye;прощання;Zur Verabschiedung des Kollegen in den Ruhestand **haben wir ein Geschenk überreicht**.
die Vertriebsbüro, -s;sales office;офіс продажу;Unser Vertriebsbüro **ist für die Kundenbetreuung in der gesamten Region zuständig**.
die Anwesenheit (Sg.);presence, attendance;присутність;Die Anwesenheit aller Teammitglieder **bei der wöchentlichen Besprechung ist erforderlich**.
der Arbeitsbeginn (Sg.);start of work;початок роботи;Laut Hausordnung müssen sich alle Mitarbeiter **vor Arbeitsbeginn im System anmelden**.
der Auswahlprozess, -e;selection process;процес відбору;Das Bewerbungsverfahren **beinhaltet einen mehrstufigen Auswahlprozess**.
die Besetzung (einer Stelle) (Sg.);filling (of a position);заповнення (вакансії);Die Besetzung der offenen Stelle **stellt die Personalabteilung vor eine Herausforderung**.
die Betriebsferien (Pl.);company holidays;корпоративна відпустка (закриття підприємства на свята);Während der Betriebsferien **bleibt das gesamte Betriebsgelände für Besucher geschlossen**.
die Betriebskantine, -n;company canteen;їдальня на підприємстві;<b>Ich plädiere dafür, dass</b> wir in der Betriebskantine gesündere Speisen zubereiten.
das Bewerbungsverfahren, -;application process;процес подачі заявки / відбору;Das Bewerbungsverfahren **wird online über unser neues Bewerberportal abgewickelt**.
die Büroleiter, - / die Büroleiterin, -nen;office manager;офіс-менеджер, керівник офісу;Die Büroleiterin **ist für die Organisation der Einarbeitungsphase zuständig**.
durchgehend;continuous(ly), non-stop;безперервний, цілодобовий;Die Produktion im Werk läuft **durchgehend im Schichtbetrieb**.
die Einarbeitung (Sg.);onboarding, training period;онбординг, введення в посаду;Eine gute Einarbeitung **hilft den neuen Kräften, sich im Team zurechtzufinden**.
der Eindruck, "-e;impression;враження;Die Kandidatin **hat beim Vorstellungsgespräch einen sehr positiven Eindruck hinterlassen**.
das Einstellungsgespräch, -e;job interview;співбесіда (при прийомі на роботу);Ich bereite mich intensiv auf das morgige Einstellungsgespräch **vor**.
die Einzelheit, -en;detail;деталь, подробиця;Wir müssen **die Einzelheiten des Arbeitsvertrags noch mit der HR absprechen**.
sich erkundigen nach (+ Dat.);to inquire about;дізнаватися про, довідуватися;Ich möchte mich **nach den genauen Aufstiegsmöglichkeiten in der Firma erkundigen**.
der Feierabend (Sg.);end of the working day;кінець робочого дня;Nach Feierabend **sollte man die Zeit zur Erholung nutzen**, um Stress abzubauen.
flexibel;flexible;гнучкий;Dank flexibler Arbeitszeiten **können wir den Alltag entspannter gestalten**.
gesetzlich;legal, statutory;законний, встановлений законом;Der gesetzliche Mindesturlaub **dient dem Gesundheitsschutz der Beschäftigten**.
die Kündigungsregelung, -en;termination rule/policy;правила звільнення (розірвання договору);Die Kündigungsregelungen **wurden in der neuen Betriebsvereinbarung festgelegt**.
der ÖPNV (Öffentlicher Personennahverkehr) (Sg.);public transport;громадський транспорт;Die Nutzung des ÖPNV **ist ein wichtiger Aspekt für den ökologischen Umweltschutz**.
der Schichtbetrieb (Sg.);shift operation, shift work;позмінна робота;Im Schichtbetrieb **ist eine präzise Aufgabenübergabe besonders wichtig**.
die Teambesprechung, -en;team meeting;командна нарада;In der Teambesprechung **kann man Verbesserungsvorschläge zur Sprache bringen**.
