#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Ablauf, "-e;process, sequence;процес, хід;Wir müssen den Ablauf der Flugzeugabfertigung **im Übergabeprotokoll genau beschreiben**.
etw. abwägen (wägt ab, wog ab, hat abgewogen);to weigh up, to consider;зважувати, обмірковувати;Wir müssen alle Risiken und Chancen sorgfältig abwägen, bevor wir **eine Entscheidung treffen**.
die Arbeitsbedingung, -en;working condition;умова праці;Die Gewerkschaft **führt Tarifverhandlungen mit dem Ziel, die Arbeitsbedingungen zu verbessern**.
der Aspekt, -e;aspect;аспект;Ein wichtiger Aspekt des Brandschutzes **ist das Freihalten aller Rettungswege**.
die Auftragsabwicklung, -en;order processing;обробка замовлення;Eine effiziente Auftragsabwicklung **ist Voraussetzung für eine hohe Kundenzufriedenheit**.
der Baustoff, -e;building material;будівельний матеріал;Das Handwerksunternehmen **stellt eine Liste der benötigten Baustoffe zur Verfügung**.
etw./jdm. Beachtung schenken;to pay attention to;приділяти увагу;Bei der Qualitätskontrolle **müssen wir jedem kleinsten Fehler große Beachtung schenken**.
etw. benötigen (benötigt, benötigte, hat benötigt);to need, to require;потребувати;Für die stufenweise Wiedereingliederung **benötigen wir ein ärztliches Attest**.
etw. berücksichtigen (berücksichtigt, berücksichtigte, hat berücksichtigt);to consider, to take into account;враховувати;Bei der Schichtplanung **müssen wir die gesetzlichen Ruhezeiten der Beschäftigten berücksichtigen**.
etw. beschaffen (beschafft, beschaffte, hat beschafft);to procure, to obtain;діставати, закуповувати;Es ist schwierig, die erforderlichen Rohstoffe **unter Einhaltung der Umweltauflagen zu beschaffen**.
die Beschaffung (Sg.);procurement;закупівля, придбання;Die Beschaffung neuer Sicherheitsbekleidung **dient dem Gesundheitsschutz am Arbeitsplatz**.
der Beschaffungsmarkt, "-e;procurement market;ринок закупівель;Aufgrund der Globalisierung **müssen wir den Beschaffungsmarkt weltweit beobachten**.
die Bestandsaufnahme, -n;inventory, taking stock;інвентаризація, оцінка стану;Der Wirtschaftsprüfer **führt eine gründliche Bestandsaufnahme des Lagers durch**.
das CAD-Programm, -e;CAD program;САПР (система автоматизованого проектування);Der Technische Zeichner **verfügt über exzellente Kenntnisse im Umgang mit** CAD-Programmen.
der Einfluss, "-e;influence;вплив;Der demografische Wandel **hat einen spürbaren Einfluss auf den Fachkräftemangel**.
Einfluss haben auf (+ Akk.);to have an influence on;мати вплив на;Die Lärmbelästigung **hat einen negativen Einfluss auf das Wohlbefinden** der Anwohner.
etw. einkalkulieren (kalkuliert ein, kalkulierte ein, hat einkalkuliert);to factor in, to take into account;враховувати (у розрахунках);In der Budgetplanung **müssen wir die steigenden Lohnnebenkosten einkalkulieren**.
erforderlich;required, necessary;необхідний;Für die Auszahlung der Abfindung **ist das Einreichen des Auflösungsvertrags erforderlich**.
die Fachmesse, -n;trade fair;спеціалізована виставка;Die Fachmesse **bietet gute Möglichkeiten zur Kundengewinnung und Netzwerkpflege**.
das Fertighaus, "-er;prefabricated house;збірний будинок;<b>Aus der Präsentation geht hervor, dass</b> die Nachfrage nach Fertighäusern gestiegen ist.
die Fertighausfirma, -firmen;prefabricated house company;компанія-виробник збірних будинків;Die Fertighausfirma **ist für die Einhaltung aller baurechtlichen Rechtsnormen zuständig**.
das Gartengerät, -e;garden tool;садовий інструмент;Das Handwerksunternehmen **stellt den Mitarbeitern die erforderlichen Gartengeräte bereit**.
geeignet;suitable;підходящий, придатний;Er ist sehr geeignet, **die Leitung der neuen Inklusionsabteilung zu übernehmen**.
global;global;глобальний;Die veränderte Wettbewerbssituation **erfordert ein globales Denken der Geschäftsführung**.
die Globalisierung (Sg.);globalization;глобалізація;Die Globalisierung **beeinflusst die Absatzchancen auf dem internationalen Markt maßgeblich**.
das Gut, "-er;good, commodity, asset;товар, майно;Der Transport empfindlicher Güter **erfordert die Beachtung strenger Sicherheitsvorschriften**.
der Konkurrenzdruck (Sg.);competitive pressure;конкурентний тиск;Der starke Konkurrenzdruck **zwingt den Betrieb zu Maßnahmen zur Kostensenkung**.
die Lagerkapazität, -en;storage capacity;місткість складу, ємність сховища;Wir müssen unsere Lagerkapazitäten erweitern, um **die Liefersicherheit abzusichern**.
die Liefersicherheit (Sg.);delivery reliability, security of supply;надійність постачання;Eine hohe Liefersicherheit **leistet einen wichtigen Beitrag zur Kundenbindung**.
massiv;massive(ly);масивний, масштабний;Die Störung im Stromnetz **verursachte massive Produktionsausfälle im Werk**.
das Material, -ien;material;матеріал;Die Qualitätskontrolle **prüft das gelieferte Material auf eventuelle Mängel**.
die Menge, -n;amount, quantity;кількість, обсяг;Wir müssen eine große Menge an Ersatzteilen bestellen, um **die Wartung abzusichern**.
die Produktionsunterbrechung, -en;production interruption, downtime;переривання виробництва, простій;Eine ungeplante Produktionsunterbrechung **kann erhebliche finanzielle Schäden auslösen**.
