#separator:;
#html:true
#columns:German;English;Ukrainian;Example
etw. abschalten (schaltet ab, schaltete ab, hat abgeschaltet);to switch off, to shut down;вимикати, відключати;Wir müssen die alten Industrieanlagen aus Sicherheitsgründen **sofort abschalten**.
anfallen (fällt an, fiel an, ist angefallen);to arise, to be incurred;виникати (про витрати або роботу);Bei den Entsorgungsmaßnahmen **können erhebliche zusätzliche Kosten anfallen**.
die Aufnahme, -n;recording, picture, admission;знімок, запис, прийом;Die Aufnahme des Schadensfalls **wurde direkt an die Versicherung weitergeleitet**.
begeistert;enthusiastic, excited;у захваті, натхненний;Die Geschäftsleitung war **begeistert von den neuen Vorschlägen zur Lärmminderung**.
etw. beheben (z. B. einen Fehler) (behebt, behob, hat behoben);to fix, to resolve;усувати, виправляти (напр., помилку);Der Techniker konnte den Mangel an der Kältemaschine **schnell und fehlerfrei beheben**.
etw. beschädigt;damaged;пошкоджений;Die Ware wurde beim Transport beschädigt, **daher fordern wir eine Nachlieferung**.
der Dienstleister, - / die Dienstleisterin, -nen;service provider;постачальник послуг, підрядник;Der externe Dienstleister **ist für die Einhaltung der Brandschutzordnung verantwortlich**.
das Display, -s;display, screen;дисплей, екран;Das Display zeigt eine Fehlfunktion, **die auf eine Störung im Kühlsystem hinweist**.
etw. einstellen (stellt ein, stellte ein, hat eingestellt);to stop, to adjust;припиняти, налаштовувати;Wir müssen den Betrieb der Maschine **zur Vermeidung von Gefahrenquellen einstellen**.
das Elektronikmodul, -e;electronic module;електронний модуль;Das Elektronikmodul **muss im Rahmen der Instandsetzung komplett ausgetauscht werden**.
etw. erkennen (erkennt, erkannte, hat erkannt);to recognize, to detect;розпізнавати, виявляти;Die Qualitätskontrolle konnte die Mängel an der Charge **rechtzeitig erkennen**.
erscheinen (erscheint, erschien, ist erschienen);to appear;з'являтися;<b>Aus der Grafik geht hervor, dass</b> immer mehr Mängelberichte im System **erscheinen**.
das Fachgeschäft, -e;specialist shop;спеціалізований магазин;Für die kaufmännische Abwicklung **müssen wir spezielle Software im Fachgeschäft erwerben**.
fehlerhaft;faulty, defective, buggy;помилковий, дефектний;Die gelieferten Messgeräte waren fehlerhaft, **folglich reichen wir eine Mangelrüge ein**.
den Geist aufgeben (gibt auf, gab auf, hat aufgegeben);to give up the ghost, to break down;наказати довго жити, зламатися;Die Notstromaggregate **dürfen im Ernstfall unter keinen Umständen den Geist aufgeben**.
glücklicherweise;fortunately, luckily;на щастя;Glücklicherweise **übernimmt die BG die Kosten für die medizinische Wiedereingliederung**.
die Großwäscherei, -en;large-scale laundry;велика пральня;Die Großwäscherei **muss strenge Richtlinien zur Hygiene und zum Gewässerschutz einhalten**.
die Herstellerfirma, -firmen;manufacturing company;компанія-виробник;Die Herstellerfirma **ist im Rahmen der Produkthaftung für den Schaden verantwortlich**.
jdn. konfrontieren mit (+ Dat.) (konfrontiert, konfrontierte, hat konfrontiert);to confront someone with;зіштовхувати когось із, пред'являти;Die Arbeitsschutzbehörde **konfrontiert den Betrieb mit den schweren Pflichtverstößen**.
lieferbar;available, deliverable;доступний для доставки, в наявності;Die benötigten Ersatzteile **sind laut System innerhalb von zwei Werktagen lieferbar**.
der Mangel, "-;defect, flaw, shortage;дефект, недолік, нестача;Es liegt ein Mangel vor, **daher verlangen wir eine Nachbesserung vom Verkäufer**.
das Modul, -e;module;модуль;Das defekte Modul der Photovoltaikanlage **wurde auf Kulanz ausgetauscht**.
der Monteur, -e / die Monteurin, -nen;mechanic, fitter, installer;монтажник, механік;Der Monteur **ist mit dem Zusammenbau der neuen Regalanlagen beschäftigt**.
