#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Anweisung, -en;instruction, directive;інструкція, вказівка;Wir müssen sicherstellen, dass die Mitarbeiter <b>den Anweisungen zum Arbeitsschutz Folge leisten</b>.
das Ersatzfahrzeug, -e;replacement vehicle;підмінний автомобіль;Während der Reparatur des Dienstwagens **stellt das Autohaus dem Kunden ein Ersatzfahrzeug zur Verfügung**.
das Ersatzteil, -e;spare part;запасна частина;<b>Wir bitten Sie, uns die benötigten Ersatzteile innerhalb einer Woche zuzuschicken</b>.
das Fahrzeug, -e;vehicle;транспортний засіб;Die regelmäßige Wartung aller Fahrzeuge **dient der Unfallverhütung im Betrieb**.
der Gebrauchtwagen, -;used car;вживаний автомобіль;Der Außendienstmitarbeiter **hat sich nach gründlicher Beratung für einen Gebrauchtwagen entschieden**.
die Gehaltsabrechnung, -en;payslip, salary statement;розрахунковий листок (по зарплаті);Die Gehaltsabrechnung **weist alle gesetzlichen Abgaben und das Nettoeinkommen fehlerfrei aus**.
die Inspektion, -en;inspection, maintenance;огляд, техогляд;Die jährliche Inspektion der Maschinen **wird vom Sicherheitsbeauftragten genau überwacht**.
jdn. kontaktieren (kontaktiert, kontaktierte, hat kontaktiert);to contact sb.;зв'язуватися з кимось;Bitte <b>kontaktieren Sie den zuständigen Ansprechpartner bei Lieferverzögerungen umgehend</b>.
der Kundenservice (Sg.);customer service;служба підтримки клієнтів;Ein kompetenter Kundenservice **leistet einen entscheidenden Beitrag zur Kundenzufriedenheit**.
etw. lackieren (lackiert, lackierte, hat lackiert);to paint, to varnish;фарбувати, лакувати;Das Fahrzeug muss neu lackiert werden, **um den Vorgaben des Corporate Designs zu entsprechen**.
der Liefertermin, -e;delivery date;дата доставки;Ein wichtiges Kriterium für die Vergabe des Auftrags **ist ein verbindlicher Liefertermin**.
die Lieferverzögerung, -en;delivery delay;затримка доставки;<b>Aufgrund von Lieferverzögerungen beim Hersteller müssen wir den Montagetermin verschieben</b>.
der Montagetermin, -e;assembly/installation appointment;дата монтажу / встановлення;Wir müssen den Montagetermin **rechtzeitig mit dem zuständigen Techniker absprechen**.
der Neuwagen, -;new car;новий автомобіль;Die Geschäftsleitung **hat die Anschaffung von fünf Neuwagen für den Fuhrpark bewilligt**.
preisgünstig;reasonably priced, cheap;недорогий, вигідний;Das optionale Angebot der Firma **ist sehr preisgünstig, aber der Kundenservice fehlt**.
das Reifenlager, -;tire storage;склад шин;Der Logistiker ist **mit der Einlagerung der Winterreifen im Reifenlager beschäftigt**.
der Reparaturauftrag, "-e;repair order;замовлення на ремонт;Der Werkstattleiter **hat den Reparaturauftrag für das Kundenfahrzeug entgegengenommen**.
der Sommerreifen, -;summer tire;літня шина;Der Wechsel auf Sommerreifen **wird vom Fuhrparkleiter regelmäßig im Frühjahr eingeplant**.
verhandeln (verhandelt, verhandelte, hat verhandelt);to negotiate;вести переговори;Die Konfliktparteien **haben beschlossen, am Montag über den Tarifvertrag zu verhandeln**.
vermitteln (vermittelt, vermittelte, hat vermittelt);to mediate, to convey;посередничати, передавати;Die Agentur versucht, Arbeitslose **in eine sozialversicherungspflichtige Beschäftigung zu vermitteln**.
der Vertriebsleiter, - / die Vertriebsleiterin, -nen;sales manager;керівник відділу продажів;Der Vertriebsleiter **ist für die Neukundengewinnung und Kundenbindung verantwortlich**.
vorgehen (geht vor, ging vor, ist vorgegangen);to proceed, to act;діяти, чинити;Bitte **gehen Sie bei der Beseitigung des Fehlers wie folgt vor**: ...
der Wagenpark, -s;vehicle fleet;автопарк;Die Modernisierung des Wagenparks **führte zu einer spürbaren Reduzierung der CO2-Emissionen**.
das Werbegeschenk, -e;promotional gift;рекламний подарунок;Das Werbegeschenk **bereitete den potenziellen Geschäftspartnern auf der Messe eine Freude**.
den Wert schätzen;to estimate the value;оцінювати вартість;Ein Gutachter **muss den Wert des Gebrauchtwagens vor dem Ankauf genau schätzen**.
der Winterreifen, -;winter tire;зимова шина;Das Fahren ohne Winterreifen bei Schnee **ist laut Hausordnung streng unter Strafe gestellt**.
etw. anschaffen (schafft an, schaffte an, hat angeschafft);to acquire, to purchase;купувати, придбати (обладнання);Wir müssen neue Geräte anschaffen, um **die Anforderungen der Digitalisierung zu erfüllen**.
auftauchen (taucht auf, tauchte auf, ist aufgetaucht);to appear, to pop up;з'являтися, виникати;Nach dem Softwareupdate **sind unerwartete Probleme beim Zeiterfassungssystem aufgetaucht**.
daher;therefore, hence;тому, з цієї причини;Das Gerät weist einen technischen Mangel auf, **daher müssen wir den Service kontaktieren**.
darum;therefore, for that reason;тому, через це;Es gab Probleme bei der Montage, **darum müssen wir den Fertigstellungstermin verschieben**.
die technischen Daten (Pl.);technical data/specifications;технічні характеристики / дані;<b>Ich bitte Sie, uns die technischen Daten des Modells umgehend zuzuschicken</b>.
dennoch;nevertheless, yet;тим не менш, проте;Es gab Lieferverzögerungen, **dennoch konnte das Projekt rechtzeitig abgeschlossen werden**.
deshalb;therefore, that's why;тому, ось чому;Die Hebebühne ist defekt, **deshalb müssen wir den Reparaturauftrag sofort erteilen**.
deswegen;therefore, because of that;тому, через це;Er hat gegen die Sicherheitsvorschriften verstoßen, **deswegen hat er eine Abmahnung erhalten**.
das Eigengewicht, -e;dead weight, own weight;власна вага;Das Eigengewicht der Maschine **spielt eine wichtige Rolle bei der Montageplanung**.
erforderlich;required, necessary;необхідний;Für die Teilnahme am Fortbildungsseminar **ist ein IHK-Zertifikat erforderlich**.
folglich;consequently, as a result;отже, внаслідок цього;Der Bewerber verfügt über keine Praxis- und Berufserfahrung, **folglich erhielt er eine Absage**.
die Gewährleistung, -en;warranty, guarantee;гарантія (за законом);Auf das neu angeschaffte Gerät **haben wir eine gesetzliche Gewährleistung von zwei Jahren**.
die Geschwindigkeit, -en;speed;швидкість;Die hohe Geschwindigkeit des Zeiterfassungssystems **stieß auf positive Rückmeldungen**.
die Hebebühne, -n;lifting platform, hoist;підйомник;Das Fahrzeug muss auf die Hebebühne, **um den Mangel am Unterboden zu beheben**.
die Hubhöhe, -n;lifting height;висота підйому;Die Hubhöhe des Gabelstaplers **ist für das Einlagern der Paletten völlig ausreichend**.
die Kaufentscheidung, -en;purchase decision;рішення про покупку;Der Preis und die Qualität **sind ausschlaggebende Kriterien für die Kaufentscheidung**.
etw. lagern (lagert, lagerte, hat gelagert);to store;зберігати;Die Werkzeuge **müssen sicher im dafür vorgesehenen Bereich gelagert werden**.
die Lieferzeit, -en;delivery time;час доставки;<b>Aus der Grafik geht hervor, dass sich die Lieferzeiten im letzten Quartal verkürzt haben</b>.
die Neuanschaffung, -en;new acquisition, purchase;нове придбання;Die Neuanschaffung der IT-Ausrüstung **wurde durch einen staatlichen Zuschuss gefördert**.
das Qualitätsproblem, -e;quality problem;проблема з якістю;Wegen eines Qualitätsproblems **hat der Kunde eine offizielle Reklamation eingereicht**.
der Rabatt, -e;discount;знижка;Bei der Bestellung größerer Mengen **gewährt uns der Lieferant einen attraktiven Rabatt**.
die Raumhöhe, -n;room height;висота приміщення;Die Raumhöhe im neuen Lager **erlaubt die Installation einer höheren Regalanlage**.
die Tragfähigkeit, -en;load capacity;вантажопідйомність, несуча здатність;Die Tragfähigkeit der Hebebühne **wird beim Sicherheits-Audit genau kontrolliert**.
trotzdem;nevertheless, anyway;незважаючи на це, все ж;Das Angebot war teuer, **trotzdem haben wir uns für diese innovative Lösung entschieden**.
überzeugend;convincing;переконливий;Die Präsentation des Projekts war **äußerst überzeugend für das Fachpublikum**.
die Wartung, -en;maintenance;технічне обслуговування;Die regelmäßige Wartung der Server **beugt unerwarteten Betriebsausfällen vor**.
das Bedienungsproblem, -e;operating problem, user error;проблема з експлуатацією / використанням;Ein häufiges Bedienungsproblem **weist auf eine mangelhafte Einweisung der Mitarbeiter hin**.
etw. beheben (z. B. einen Fehler) (behebt, behob, hat behoben);to fix, to resolve (an error);усувати, виправляти (напр., помилку);Der Techniker konnte den Mangel am Gerät **schnell und fehlerfrei beheben**.
etw. beseitigen (beseitigt, beseitigte, hat beseitigt);to eliminate, to remove;усувати, ліквідувати;Wir müssen alle Gefahrenquellen am Arbeitsplatz **systematisch beseitigen**.
der Defekt, -e;defect, fault;дефект, несправність;<b>Aufgrund eines technischen Defekts ist die gesamte Produktion unterbrochen</b>.
das Display, -s;display, screen;дисплей, екран;Das Display zeigt eine Fehlermeldung, **die auf ein Qualitätsproblem hinweist**.
die Fehlfunktion, -en;malfunction;збій, порушення функції;Eine Fehlfunktion der Elektronik **muss umgehend dem Sicherheitsbeauftragten gemeldet werden**.
die Garantie, -n;guarantee;гарантія (від виробника);Der Hersteller **gewährt eine freiwillige Garantie von drei Jahren auf das Modell**.
die Reklamation, -en;complaint, reclamation;рекламація, скарга;Das Beschwerdemanagement **ist für die zügige Bearbeitung der Reklamationen zuständig**.
etw. reklamieren (reklamiert, reklamierte, hat reklamiert);to complain about / return;пред'являти претензію, повертати (через брак);Wir müssen die mangelhafte Lieferung **beim Hersteller schriftlich reklamieren**.
der Schadensfall, "-e;case of damage;страховий випадок (пошкодження);Im Schadensfall **übernimmt die Versicherung die Kosten für die Wiederbeschaffung**.
etw. umtauschen (tauscht um, tauschte um, hat umgetauscht);to exchange / replace;обмінювати;Der Kunde möchte das beschädigte Gerät **gegen ein fehlerfreies Modell umtauschen**.
die Mangelrüge, -n;notice of defects;повідомлення про недоліки товару (офіційне);Die Mangelrüge **wurde unter Einhaltung der gesetzlichen Frist eingereicht**.
