#separator:;
#html:true
#columns:German;English;Ukrainian;Example
abhängig sein von (+ Dat.);to be dependent on;бути залежним від;Die Höhe der Altersteilzeit **ist maßgeblich von den geleisteten Berufsjahren abhängig**.
die Beratung, -en;advice, consulting;консультація;Die Personalabteilung **bietet eine Beratung bezüglich des Kündigungsschutzes an**.
Geld ausgeben für (+ Akk.) (gibt aus, gab aus, hat ausgegeben);to spend money on;витрачати гроші на;Der Betrieb **sollte mehr Geld für ergonomische Arbeitsplatzgestaltung ausgeben**.
die Lieferzeit, -en;delivery time;час доставки;Die Lieferzeit für die neuen Brandschutztüren **wurde im Vertrag festgelegt**.
die Öffnungszeit, -en;opening time;години роботи;Die Öffnungszeiten der werkseigenen Kantine **wurden im Aushang bekannt gegeben**.
der Online-Einkauf, "-e;online shopping;онлайн-покупки;Der Online-Einkauf **von IT-Ausstattung für das Büro spart viel Arbeitszeit**.
die Qualität, -en;quality;якість;Die Qualität der Waren **muss bei der Anlieferung im Lager überprüft werden**.
vorsichtig;careful;обережний;Man **sollte beim Umgang mit den neuen Kältemaschinen sehr vorsichtig sein**.
die Ware, -n;goods, merchandise;товар;Die Ware **wird nach dem Eintreffen unmittelbar im Lager inventarisiert**.
der Absatz, "-e;sales, turnover;збут, продажі;Der Absatz unserer Produkte **ist infolge der neuen Werbekampagne stark gestiegen**.
die (technische) Anlage, -n;technical system / equipment;технічна установка;Die technische Anlage **muss regelmäßig auf ihre Betriebssicherheit überprüft werden**.
eine Anlage warten (wartet, wartete, hat gewartet);to maintain a system;обслуговувати установку;Die Elektrofirma **muss die gesamte elektrische Anlage des Werks warten**.
jdn./etw. beobachten (beobachtet, beobachtete, hat beobachtet);to observe;спостерігати;Der Vorarbeiter **muss den ordnungsgemäßen Betrieb der Maschinen beobachten**.
der Einzelhandel (Sg.);retail;роздрібна торгівля;Der Einzelhandel **klagt über den Mangel an qualifizierten Verkaufskräften**.
der Endkunde, -n / die Endkundin, -nen;end customer;кінцевий споживач/-ка;Der Endkunde **hat das Recht, die Ware bei Beschädigung zu reklamieren**.
etw. entwickeln (entwickelt, entwickelte, hat entwickelt);to develop;розробляти;Wir wollen **ein neues und innovatives Verfahren zur Lärmminderung entwickeln**.
die Forschung und Entwicklung (Sg.);research and development (R&D);дослідження та розробка;Der Bereich Forschung und Entwicklung **erfordert erhebliche finanzielle Investitionen**.
der Großhandel (Sg.);wholesale;гуртова торгівля;Der Großhandel **liefert die Rohstoffe direkt an unsere Produktionsstätte**.
der Handel (Sg.);trade, commerce;торгівля;Der Handel **mit Kältetechnik unterliegt strengen gesetzlichen Regelungen**.
her|stellen (stellt her, stellte her, hat hergestellt);to produce, to manufacture;виробляти;Unser Betrieb **kann diese speziellen Ersatzteile kostengünstig herstellen**.
die Herstellung (Sg.);manufacturing;виробництво;Bei der Herstellung der Produkte **ist auf eine fehlerfreie Verarbeitung zu achten**.
etw. liefern (liefert, lieferte, hat geliefert);to deliver;доставляти;Die Spedition **wird die bestellten Büromöbel zum vereinbarten Stichtag liefern**.
der Lieferschein, -e;delivery note;накладна;Bitte **vergleichen Sie den Lieferschein genau mit den erhaltenen Waren**.
Lieferscheine aus|stellen (stellt aus, stellte aus, hat ausgestellt);to issue delivery notes;виписувати накладні;Die Versandabteilung **muss die Lieferscheine für den Gütertransport ausstellen**.
die Lieferung, -en;delivery;доставка;Die Lieferung **erfolgte unmittelbar nach Eingang der schriftlichen Bestellung**.
der Markt, "-e;market;ринок;Wir müssen uns **am Markt orientieren, um konkurrenzfähig zu bleiben**.
das Maß, -e;measure, dimension;міра, розмір;Die Maße der neuen Werkbank **müssen den Richtlinien des Arbeitsschutzes entsprechen**.
die Menge, -n;quantity, amount;кількість;Eine große Menge an Ausschuss **wirkt sich negativ auf den Gewinn aus**.
etw. montieren (montiert, montierte, hat montiert);to assemble, to install;монтувати;Die Techniker **müssen die neuen Absauganlagen in der Werkhalle montieren**.
die Produktion, -en;production;виробництво;Die Produktion **wurde durch den unerwarteten Kabelbrand komplett lahmgelegt**.
die Rechnung, -en;invoice, bill;рахунок;Bitte **leiten Sie die Rechnung direkt an die Finanzbuchhaltung weiter**.
die Spedition, -en;shipping company;експедиторська компанія;Die Spedition **trägt die Verantwortung für den sicheren Transport der Ware**.
der Transport, -e;transport;транспорт;Der Transport von Gefahrstoffen **ist gesetzlich streng reglementiert**.
die Verpackung, -en;packaging;упаковка;Die Verpackung **muss die Ware zuverlässig vor Feuchtigkeit schützen**.
der Versand (Sg.);shipping, dispatch;відправка;Der Versand der Laptops **wird über das Logistikzentrum abgewickelt**.
der Vertrieb (Sg.);sales, distribution;відділ збуту;Der Vertrieb **ist für die Neukundengewinnung in der Berufssparte zuständig**.
der Zwischenhändler, -;middleman, reseller;посередник;Durch den Verzicht auf einen Zwischenhändler **konnten wir Kosten einsparen**.
