#separator:;
#html:true
#columns:German;English;Ukrainian;Example
etw. aktivieren (aktiviert, aktivierte, hat aktiviert);to activate;активувати;Der Systemadministrator **muss die neuen Benutzerkonten in der Datenbank aktivieren**.
der Anbieter, - / die Anbieterin, -nen;provider;провайдер/-ка;Der Anbieter **ist verpflichtet, die Kältemaschinen vereinbarungsgemäß zu warten**.
etw. auf|laden (lädt auf, lud auf, hat aufgeladen);to top up, to charge;заряджати, поповнювати (рахунок);Der Fahrer **muss die Batterie des Gabelstaplers rechtzeitig aufladen**.
sich beraten lassen (lässt sich beraten, ließ sich beraten, hat sich beraten lassen);to get advice;отримати консультацію;Sie **sollten sich vor der Existenzgründung ausführlich beraten lassen**.
sich beschweren (beschwert sich, beschwerte sich, hat sich beschwert);to complain;скаржитися;Der Mitarbeiter **beschwert sich beim Betriebsrat über die mangelhafte Arbeitsplatzausstattung**.
die Bestellung, -en;order;замовлення;Die Bestellung **wurde von der Spedition zum vereinbarten Stichtag geliefert**.
das Datenvolumen, -;data volume;обсяг даних;Das monatliche Datenvolumen **wurde in der neuen Betriebsvereinbarung genau festgelegt**.
etw. ein|geben (gibt ein, gab ein, hat eingegeben);to enter (data);вводити (дані);Bitte **geben Sie die Lieferdaten sorgfältig in das EDV-System ein**.
etw. ein|legen (legt ein, legte ein, hat eingelegt);to insert;вставляти;Der Arbeitnehmer **muss bei einer Kündigung Klage beim Arbeitsgericht einlegen**.
einmalig;one-time;одноразовий;Die Gebühr für das Anerkennungsverfahren **ist vom Antragsteller einmalig zu entrichten**.
der Einsteiger, - / die Einsteigerin, -nen;beginner;початківець/-иця;Dieses Handbuch **bietet für Einsteiger eine verständliche Einführung in den Arbeitsschutz**.
etw. entgegen|nehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen);to receive, to accept;приймати;Der Lagerist **ist befugt, die Warenlieferung am Empfang entgegenzunehmen**.
das Festnetz (Sg.);landline;стаціонарна мережа;Im Büro **sind alle Mitarbeiter sowohl über Mobiltelefon als auch über Festnetz erreichbar**.
etw. frei|schalten (schaltet frei, schaltete frei, hat freigeschaltet);to unlock, to activate;активувати, розблокувати;Die Personalabteilung **muss den Zugang zum Abrechnungsportal für den Auszubildenden freischalten**.
die Grundgebühr, -en;basic fee;абонентська плата;Die Grundgebühr **für die Nutzung der Online-Plattform wird monatlich abgerechnet**.
gültig;valid;дійсний;Eine gültige Aufenthaltsgenehmigung **ist Voraussetzung für das Bestehen des Arbeitsverhältnisses**.
günstig;cheap, favorable;вигідний, недешевий;Der Handwerksbetrieb **konnte ein günstiges Angebot für die Sanierung der Lagerhalle unterbreiten**.
das Guthaben, -;credit;баланс (грошовий);Das Guthaben **auf dem Zeitkonto kann als Freizeitausgleich genutzt werden**.
der Handwerker, - / die Handwerkerin, -nen;craftsman;майстер/-иня;Der Handwerker **ist für die ordnungsgemäße Installation der technischen Anlage zuständig**.
inklusive;inclusive;включно;Der monatliche Mietpreis **versteht sich inklusive aller Nebenkosten und Steuern**.
die Kontrolle, -n;control;контроль;Die Kontrolle der Brandschutzordnung **erfolgt durch den zuständigen Sicherheitsbeauftragten**.
der Lieferservice, -s;delivery service;служба доставки;Der Lieferservice **garantiert eine Zustellung der Ersatzteile innerhalb von 24 Stunden**.
