#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Arbeitslosenquote, -n;unemployment rate;рівень безробіття;<b>Aus der Grafik geht hervor, dass</b> die Arbeitslosenquote im Land stark gesunken ist.
auffallen (fällt auf, fiel auf, ist aufgefallen);to stand out, to be noticeable;впадати в око, виділятися;<b>Es fällt besonders auf, dass</b> die Systemleistung nach dem Update spürbar nachgelassen hat.
das Baugewerbe (Sg.);construction industry;будівельна галузь;Im Baugewerbe <b>muss man vor Arbeitsbeginn die Sicherheitsvorschriften genau beachten</b>.
etw. bearbeiten (bearbeitet, bearbeitete, hat bearbeitet);to process, to edit;обробляти, редагувати;Die Mitarbeiter müssen Kundenanfragen und Beschwerden schnellstmöglich <b>bearbeiten</b>.
etw./jdn. beaufsichtigen (beaufsichtigt, beaufsichtigte, hat beaufsichtigt);to supervise, to oversee;наглядати, контролювати;Der Abteilungsleiter hat die Pflicht, die Auszubildenden am Arbeitsplatz <b>zu beaufsichtigen</b>.
befristet;temporary, fixed-term;строковий (про договір), тимчасовий;<b>Ich bin der Meinung, dass</b> ein befristeter Arbeitsvertrag den Mitarbeitern zu wenig Sicherheit bietet.
der Beschäftigte, -n / die Beschäftigte, -n;employee;працівник, співробітник;Die Beschäftigten <b>haben sich auf eine neue Arbeitszeitregelung geeinigt</b>.
etw./jdn. betreuen (betreut, betreute, hat betreut);to look after, to support, to manage;обслуговувати, супроводжувати, керувати;Als Kundenberater muss ich internationale Geschäftspartner persönlich <b>betreuen</b>.
die Branche, -n;industry, sector;галузь, сфера;In dieser Branche **steht die Zufriedenheit der Kunden im Vordergrund**.
die Dienstleistung, -en;service;послуга;Unser Unternehmen <b>stellt den Kunden eine breite Palette an Dienstleistungen zur Verfügung</b>.
die Finanzbranche (Sg.);financial sector;фінансовий сектор;In der Finanzbranche <b>legen Arbeitgeber großen Wert auf</b> absolute Zuverlässigkeit und Diskretion.
der Fluggerätemechaniker, - / die Fluggerätemechanikerin, -nen;aircraft mechanic;авіамеханік;Als Fluggerätemechaniker **trägt man die Verantwortung für die Sicherheit** der Passagiere.
das Gastgewerbe (Sg.);hospitality industry;готельно-ресторанний бізнес;Im Gastgewerbe **ist man auf flexible Arbeitszeiten angewiesen**, da oft am Wochenende gearbeitet wird.
